"","W60","W63","W67","W70","W73","W74","W78","W80","W81","W115","W116","W118"
"177",2198.003226,2273.92,2039.461,2395.769,2409.931,2476.845,1900.858065,2539.9,1917.266667,1760.863333,1665.738667,1508.7
"178",2198.854545,2274.256563,2039.79375,2394.904063,2409.29,2477.020938,1901.24375,2539.90625,1918,1761.050938,1666.140625,1507.1875
"179",2198.863333,2274.583667,2040.051333,2394.789667,2408.803667,2477.084667,1901.58,2540,1918,1760.938333,1666.303333,1506.633333
"180",2199.535484,2274.87,2040.284839,2394.760645,2408.560645,2477.517097,1901.780645,2540,1918.806452,1760.790645,1666.384516,1506
"181",2200.277419,2275.108387,2040.467419,2394.790323,2408.38129,2478.330968,1901.987097,2540.258065,1919,1760.673871,1666.451613,1506
"182",2199.748276,2275.305862,2040.620345,2394.872759,2408.282759,2478.041379,1902.168966,2540.896552,1919,1760.684138,1666.635517,1505.068966
"183",2199.354839,2275.473226,2040.763871,2394.898387,2408.157742,2477.554839,1902.3,2540,1919,1760.814194,1666.857742,1505
"184",2199.641935,2275.583667,2040.880333,2394.939,2408.010968,2477.503226,1902.403333,2540.433333,1919.533333,1760.982667,1667.015667,1505
"185",2200.967742,2275.715161,2040.981935,2395.064839,2408.596452,2479.971613,1902.532258,2541.322581,1920,1761.116452,1667.590323,1505
"186",2202.525806,2275.988065,2041.159032,2395.503226,2410.398387,2481.583871,1902.841935,2541.612903,1920,1761.479355,1668.560968,1505.645161
"187",2199.316129,2274.93129,2040.224516,2395.786129,2408.873438,2478.495484,1903.141935,2540.645161,1918.967742,1760.776129,1668.115161,1506.612903
"188",2198.590323,2274.13871,2039.076129,2396.231935,2409.417742,2477.310968,1902.396774,2540.451613,1917.483871,1759.79,1667.422903,1508.709677
"189",2198.903333,2273.937333,2038.779667,2395.22,2409.300645,2476.388667,1901.726667,2539.966667,1917,1759.049333,1666.726667,1508.166667
"190",2199.16875,2274.275,2038.850625,2394.77625,2408.8075,2476.6025,1901.6,2540,1917,1759.244063,1667.283438,1507.5
"191",2199.553333,2274.584333,2038.934,2394.879333,2408.504667,2477.191,1901.613333,2540.433333,1917,1759.313667,1667.5,1507
"192",2199.596774,2274.868065,2039.028065,2395.196129,2408.82871,2477.595484,1901.706452,2541,1917,1759.900645,1668.271613,1507.354839
"193",2199.683871,2275.132258,2039.126129,2395.369032,2408.762903,2478.286452,1901.787097,2541,1917.645161,1760.515161,1668.605161,1507
"194",2200.03,2275.374333,2039.209667,2395.597667,2408.797333,2478.801,1901.86,2541.033333,1918,1760.875667,1668.947667,1507
"195",2199.683871,2275.738387,2039.346129,2395.845161,2409.135806,2477.618065,1902.006452,2541,1918,1761.716452,1669.18871,1507
"196",2199.906667,2275.959355,2039.541667,2396.104333,2409.165667,2478.038,1902.153333,2541,1918,1761.789,1669.288667,1507.033333
"197",2201.145161,2276.576129,2040.305484,2397.767742,2410.990645,2480.958065,1902.829032,2542,1918.322581,1763.104839,1670.549355,1508.935484
"198",2201.122581,2277.547419,2040.768387,2397.996129,2412.917813,2480.704516,1903.780645,2541.193548,1918.870968,1763.635161,1669.895806,1508.580645
"199",2199.022581,2276.962581,2039.698065,2398.312581,2413.502581,2477.445484,1903.370968,2540.709677,1917.870968,1763.340323,1668.46129,1509.096774
"200",2198.9,2275.540625,2038.644516,2397.637188,2413.400968,2476.743871,1902.703226,2540.419355,1916.83871,1762.493871,1666.33129,1509.62069
"201",2199.36129,2275.280667,2038.131333,2397.154,2412.809032,2476.444516,1902.096667,2540.066667,1916,1761.753548,1665.470968,1509.1
"202",2199.26875,2275.726875,2038.199375,2396.289375,2411.654063,2476.495313,1902.00625,2540,1916.34375,1761.50625,1665.855,1508.6875
"203",2199.633333,2276.065667,2038.298667,2396.143667,2410.816,2476.315667,1902.073333,2540,1917,1761.128667,1665.880667,1508
"204",2199.487097,2276.385484,2038.341935,2396.199032,2411.065806,2476.794194,1902.164516,2540.225806,1917,1760.628387,1665.850968,1507.580645
"205",2199.841935,2276.710968,2038.426774,2396.276129,2410.44871,2477.371613,1902.254839,2541,1917,1760.512903,1665.915161,1507.451613
"206",2199.77931,2276.95,2038.504828,2396.27069,2410.05931,2477.212414,1902.351724,2541,1917,1760.68,1666.052759,1507.241379
"207",2199.977419,2277.088065,2038.532258,2396.251613,2409.778065,2477.918065,1902.390323,2541.225806,1917.46875,1760.435806,1666.166774,1507
"208",2199.513333,2277.200667,2038.593667,2396.273333,2409.615667,2476.97,1902.47,2541.033333,1918,1760.375333,1666.283667,1507
"209",2199.654839,2277.293548,2038.671613,2397.14,2410.581935,2477.55871,1902.577419,2541.258065,1918,1760.813548,1667.689032,1508.645161
"210",2199.516129,2276.887742,2038.740645,2397.045806,2411.770968,2477.478065,1902.919355,2540.774194,1917.967742,1761.660968,1668.292581,1509.032258
"211",2198.754839,2275.48,2037.731613,2396.817419,2411.287419,2476.48129,1902.606452,2539.935484,1916.903226,1760.535484,1667.098065,1509.225806
"212",2198.990323,2275.213871,2037.062903,2396.872258,2411.442903,2476.667419,1902.66129,2540.516129,1916,1759.510968,1665.984194,1509.83871
"213",2198.653333,2275.311,2036.849677,2396.184516,2410.413,2476.241,1902.94,2540.166667,1916.9,1759.776333,1666.284333,1509.266667
"214",2198.996875,2275.714688,2036.983125,2396.884063,2410.477188,2476.651875,1903.071875,2541.21875,1917,1761.905625,1667.9925,1509.84375
"215",2199.003333,2276.188667,2037.141667,2396.760667,2410.307667,2476.623667,1903.226667,2541,1917,1762.118333,1668.150667,1509.466667
"216",2199.209677,2276.686129,2037.257097,2396.717419,2410.389677,2476.309355,1903.380645,2540.935484,1917.774194,1762.045806,1668.015484,1509
"217",2200.259375,2277.094688,2037.35871,2396.629688,2410.101875,2477.009375,1903.53125,2541,1918,1761.9725,1667.890625,1508.59375
"218",2200.442857,2277.389286,2037.425714,2396.713929,2409.775,2477.346786,1903.635714,2541.821429,1918,1761.898929,1667.854643,1508.035714
"219",2199.570968,2277.657419,2037.516129,2396.89,2409.689355,2477.386452,1903.76129,2541.16129,1918,1762.01871,1668.070645,1508.322581
"220",2199.69,2277.859333,2037.602333,2396.963,2409.529,2477.273667,1903.836667,2541,1918,1761.971,1668.25,1508
"221",2199.483871,2278.044516,2037.731935,2397.316452,2409.642903,2477.200645,1903.932258,2541.322581,1918.548387,1762.062581,1668.594194,1508
"222",2199.248387,2278.630645,2037.816452,2397.951613,2410.874839,2476.408387,1904.025806,2541.032258,1918.806452,1762.167097,1668.827097,1508.193548
"223",2199.1,2278.972258,2037.306129,2398.38,2410.86,2476.730968,1903.677419,2540.83871,1917.83871,1761.952903,1668.56129,1510
"224",2198.941935,2278.80129,2036.556452,2397.879677,2409.781613,2476.764839,1903.119355,2540.53125,1917,1761.27129,1667.862258,1509.4375
"225",2199.286667,2279.385333,2036.297333,2397.336333,2411.113,2475.976667,1902.973333,2540.9,1917,1761.288333,1668.456,1509
"226",2199.10625,2279.891875,2036.392188,2396.900625,2410.873438,2476.758125,1903.0625,2541.125,1917,1761.410313,1668.960625,1509
"227",2199.623333,2280.268333,2036.537333,2396.794,2410.479333,2476.944,1903.173333,2541,1917,1761.507333,1669.157,1508.566667
"228",2199.533333,2280.691333,2036.656333,2397.058,2410.235333,2477.229333,1903.323333,2541.233333,1917.366667,1761.987333,1669.961,1508.166667
