Ravenna (RV),Canaday steam plant (CDY),Kearney 4 (KY),Hayes Center 1NW (HY), Grand Island Central NE Regional AP (GI),Gresham 3W (GS),Gothenberg (GO),North Platte Exp Farm,David City
3.65,,4.82,,7.13,3.23,3.58,3.34,0.94
2.05,3.99,1.69,2.65,2.87,1.9,1.15,1.35,1.35
3.68,4.47,4.2,2.9,8.99,3.21,1.9,1.17,1.64
4.07,,3.74,2.15,4.49,8.93,0.65,0.19,3.34
1.96,2.46,2.1,1.34,1.92,2.55,1.32,1.03,0.85
3.05,1.71,3.54,0.54,3.91,4.76,0.71,0.75,1.27
,,0.01,0.11, ,0.08,0.01,0.01,0.04
1.34,,1.27,0.89,1.38,1.54,0.23,0.2,0.73
0.01,0,0.04,0.05,0.34,0.3,0.01, ,0.27
0.2,0.2,0.14,0.06,0.29,0.56,0.27,0.09,0.45
0.46,0.5,0.85,0.55,0.71,1.15,0.5,0.6,0.34
3.86,2.99,3.41,2.55,3.42,4.02,1.51,1.38,0.91
9.74,,8.74,4.02,9.04,6.67,5.33,1.51,2.44
7.84,5.37,7.23,2.68,9.85,7.33,3.25,0.84,3.1
4.07,3.36,3.68,,2.63,7.46,1.7,0.62,1.71
1.01,1.27,0.8,3.12,1.07,1.37,1.47,0.92,0.61
3.21,1.38,1.38,2.84,1.51,2.95,0.38,0.46,0.66
7.63,6.2,9.36,4.67,5.99,6.33,1.75,1.68,2.05
0.58,0.35,0.5,0.56,1.52,1.49,0.26,0.22,0.75
0.99,0.42,0.35,0.18,0.68,0.48,0.15,0.15,0.56
0.23,0.08,0.07,0.24,0.3,0.27,0.1,0.09,0.13
0.64,0.69,0.3,0.8,0.88,0.62,0.59,0.22,0.36
,0.01,0.02,,0.14,0.87,0.18,0.13,0.45
2.68,2.24,2.39,2.75,2.56,2.05,0.95,1.08,0.88
2.5,2.1,2.66,4.78,2.05,4.77,1.5,1.12,1.23
11.22,4.5,4.96,3.62,8.27,5.92,1,0.96,1.7
1.18,2.47,1.04,4.45,2.7,1.54,1.9,0.97,0.77
4.88,3.45,2.79,2.73,2.4,6.8,1.35,1.19,2.2
2.99,1.79,2.07,2.28,0.96,2.11,0.65,0.86,0.38
4.07,4.98,4.53,3.36,3.39,3.99,1.65,0.94,1.68
0.19,0.13,0.13,0.29,0.17,1.03,0.03,0.08,0.43
0.71,0.63,,0.53,1.76,1.57,0.42,0.19,0.72
0.35,0.19,0.03,0.08,0.54,0.74,0.06,0.08,0.31
0.71,0.54,0.67,0.53,0.66,0.72,0.17,0.21,0.44
1.69,1.89,1.84,2.16,2.53,1.88,0.75,1.07,0.77
1.67,2.87,3.22,2.92,1.94,2.84,0.75,1.28,0.5
3.54,3.46,3.36,3.17,4.24,2.34,1.23,0.7,0.49
8.76,7.71,5.28,5.9,8.77,8.37,3.54,1.28,2.68
6.29,2.31,4.61,2.92,4.1,3.03,1.58,1.15,1.68
3.32,2.52,3.47,3.57,3.87,2.22,1.82,1.19,3.69
1.59,0.7,1.02,1.49,1.66,1.68,1.48,0.64,1.03
0.74,0.6,0.34,0.71,0.3,0.61,0.97,0.37,0.49
0.31,0.44,0.93,0.63,0.44,0.63,0.4,0.43,0.43
0.32,0.15,0.14,0.18,0.24,0.14,0.29,0.26,0.14
,0.64,0.86,0.29,1.49,0.64,0.52,0.32,0.7
,0.28,0.12,0.51,0.28,0.48,0.36,0.34,0.19
,0.58,0.9,0.57,1.02,0.86,0.28,0.14,0.4
,3.41,3.45,2.51,2.93,3.72,0.67,0.93,1.36
,3.84,7.53,5.27,8.7,5.46,1.75,1.69,3
,3.64,4.51,6.98,1.72,3.84,0.68,2.11,1.23
,3.91,4.07,3.32,4.37,4.33,0.9,1.17,0.55
1.44,5.28,3.72,4.84,2.3,5.84,1,0.74,2.97
0.66,0.84,0.65,0.7,0.83,0.39,0.58,0.45,0.2
6.18,3.83,4.92,1.09,2.2,1.51,1.7,1.91,0.52
0.12,,0.33,0.08,0.21,0.68,0.05,0.05,0.37
0.84,0.59,0.39,0.2,1.11,1.29,0.32,0.08,0.6
,0.02,0.03,0.07,0.16,0.11,0.03,0.05,0.13
1.81,0.75,1.04,0.8,1.05,1.27,0.4,0.4,0.62
0.71,0.49,1.02,0.46,0.83,0.66,0.32,0.58,0.18
4.49,3.34,4.35,2.76,1.41,2.47,1.25,0.66,1.25
2.09,1.88,2,1.36,2.29,4.43,0.7,0.43,1.92
0.79,1.36,1.62,2.19,1.27,2.14,0.17,0.18,2.17
0.17,0.36,0.58,1.23,0.16,0.02,0.23,0.44,0.07
0.67,1.52,1.45,0.28,0.94,1.14,1.85,0.29,0.61
0.36,0.3,0.54,0.29,0.47,0.43,0.22,0.11,0.19
0.33,0.24,0.58,0.48,0.78,1.47,0.25,0.17,0.67
0.08,,,,0.53,1.44,0.12,0.01,0.97
0.63,0.83,0.61,0.4,1.66,1.81,0.18,0.06,0.85
0.19,0.06,0.14,0.19,0.16,0.36,0.08,0.17,0.12
0.9,1.31,0.74,0.55,0.97,0.3,0.79,0.35,0.39
0.56,0.52,0.62,0.29,1.64,1.31,0.11,0.22,1.2
4.72,3.45,4.37,1.66,3.83,3.01,2.26,0.71,0.89
4.41,1.99,6.54,4.85,6.77,7.42,1.66,0.89,2.04
2.02,3.19,1.44,1.27,1.63,3.66,0.6,0.67,1.2
2.04,0.63,1.98,2.18,1.39,1.5,0.8,0.75,0.36
5.69,1.97,2.19,4.08,3.02,1.94,3.54,0.32,0.95
3.32,2.47,3.77,2.6,2.38,1.57,1.45,0.6,0.81
2.64,2.26,3.73,0.85,4.05,5.66,0.65,1.41,2.2
0.6,0.7,0.72,0.46,0.97,1.47,0.65,0.36,1.43
,0.03,0.1,0.15,0.11,0.12,0.04,0.05,0.06
0.26,0.26,0.28,0.32,0.32,0.16,0.17,0.3,0.08
0.37,0.45,0.36,0.91,0.33,0.4,0.2,0.28,0.23
0.42,0.38,0.11,0.41,0.19,0.22,0.73,0.14,0.22
2.98,1.76,3.35,0.87,2.91,3.53,1.73,0.24,1.5
1,1.44,0.71,3.32,0.74,5.18,0.4,0.75,2.34
9.69,9.45,8.53,7.95,9.65,5.01,3.01,2.97,2.45
2.72,0.6,0.17,0.68,2.19,0.86,0.28,0.45,0.39
6.24,5.84,7.6,2.16,5.87,9.09,0.96,1.74,1.76
4.66,1.98,2.4,1.08,3.03,5,0.31,0.46,1.7
2.14,0.77,0.99,0.37,1.28,1.29,0.48,0.45,1.09
0.08,0.04,0.06,0.02,0.29,0.31,0.03,0.03,0.28
1.08,1.25,0.69,0.97,0.76,0.62,0.49,0.62,0.34
0.1,0.01,0.05,0.02,0.47,0.15,0.1,0.03,0.1
0.91,0.36,0.49,0.2,0.7,0.92,0.39,0.25,0.69
0.04,0.03,0.07,0.04,0.16,0.51,0.06,0.01,0.43
2.1,2.92,3.14,3.16,2.14,3.47,0.75,0.84,1.34
2.54,3.37,2.85,5.36,3.69,4.36,0.8,1.1,1.21
6.37,4.19,7.08,2.96,5.67,6.27,1.05,1,1.04
1.24,2.91,2.36,2.04,2.58,2.57,0.75,0.38,1.49
2.44,3.22,2.47,3.55,1.24,3.56,1.3,1.46,2.38
1.42,2.41,2.27,0.53,3.33,4.35,1.56,0.76,2.64
1.42,0.72,0.97,1.33,1.28,0.84,0.63,0.84,0.46
3.04,3.14,3.25,1.01,2.84,2.72,0.59,0.53,0.6
1.15,0.55,1.05,0.22,1.88,2.16,0.2,0.25,1.4
0.28,0.73,0.4,0.12,0.32,0.67,0.09,0.11,0.32
1.09,0.75,0.98,0.91,1.86,0.65,0.74,0.53,0.49
0.35,0.16,0.56,0.33,0.61,1.19,0.08,0.17,0.39
8.28,6.24,8.39,5.41,5.05,3.39,2.65,2.12,1.16
3.58,,2.3,2.74,6.84,8.54,1.25,1.46,2.33
0.93,4.28,0.61,1.05,0.05,0.11,1.1,0.73,0.63
4.51,2.53,3.38,2.26,4.1,2,1,1.38,1.31
1.26,2.11,1.47,1.07,0.57,3.18,1.27,0.56,1.45
3.75,3.12,1.2,1.9,2.53,4.09,0.51,1.25,1.44
0.51,0.08,0.12,0.45,0.12,2.27,0.36,1.16,0.48
1.35,1.12,1.56,0.47,1.37,1.03,0.47,0.25,0.69
0.4,0.62,0.9,0.72,0.81,0.78,0.35,0.45,0.76
0.91,0.75,0.9,0.65,1.07,1.14,0.38,0.35,0.56
0.25,0.26,0.3,0.19,0.25,0.31,0.28,0.18,0.43
1.98,0.95,1.63,2.43,0.81,1.19,1.08,0.9,0.63
1.62,,1.87,1.71,2.64,1.75,1.29,0.98,2.12
4.98,,6.03,4.4,5.28,3.98,0.9,0.9,1.42
1.83,1.01,1.93,0.29,2.1,2.75,1.4,0.16,1.76
2.33,,3.66,5.05,3.05,2.13,0.57,2.16,1.2
6.96,2.42,3.65,4.02,6.19,6.92,3.58,2.05,6.01
3.48,2.81,2.19,4.51,2.68,2.36,1.65,3.24,1.28
2.78,,2.83,1.46,5.36,4.31,1.95,1.07,1.48
0.22,0.3,0.34,0.23,0.51,0.43,0.11,0.1,0.45
0.35,0.32,0.21,0.29,0.45,0.36,0.24,0.26,0.23
0.71,0.38,0.96,0.96,1.08,0.56,0.73,0.4,0.43
0.55,,0.73,0.49,0.75,0.22,0.2,0.15,0.17
0.74,1.05,1.05,0.61,1.26,1.8,0.15,0.49,0.77
1.17,,2.03,1.11,1.26,0.5,0.55,0.34,0.2
5.27,4.92,5.56,5.71,3.98,2.28,1.6,1.14,0.62
4.22,3.41,2.87,3.68,4.61,8.91,1.38,0.93,2.67
4.62,,6.07,4.46,3.58,6.2,1.62,1.61,1.85
2.82,2.62,2.05,2.56,2.67,3.36,0.51,0.89,1.98
1.25,,1.85,1.47,2.49,3.04,1.48,0.41,2.6
2.43,2.61,3.5,3.58,2.88,2.88,0.92,0.9,0.98
0.44,0.54,0.85,0.64,1.69,0.64,0.27,0.3,0.22
3.75,2.29,3.49,1.51,3.44,3.04,1.05,0.89,1.45
