Ravenna,Canaday steam plant,Kearney 4,HAYES CENTER 1NW,GRAND ISLAND CENTRAL NE REGIONAL AP,Gothenberg,North Platte Exp Farm,David City
69.8,70.6,71.3,71.3,73.5,81.7,82.8,72.2
62,63.7,63.8,62.9,65,76.1,75.6,63.5
48.6,50.5,50.8,50.7,52.2,63.8,62.6,51.7
37.7,40.7,39.3,40.6,39,51.6,51.6,38.5
19,22.1,21.9,23.3,22.2,36.4,33.1,18.7
25.2,28,26.3,29.5,26.5,43.4,39.2,20.7
29.4,33.1,31.3,33.8,31,45.6,45.7,28.9
35.1,36.3,36.5,38.7,38.5,53.9,51.6,36.1
44.8,47.3,48,46.1,49.2,61.8,57.7,46.5
58.8,59.5,60.2,58.1,62.4,73.6,69.7,61
66.3,67.2,68.2,66.5,69.5,79.3,76.1,68.8
69.5,71.1,71.3,71,72.5,83,82,70.7
68.5,70,70.9,70.4,71.4,82.7,81.9,69.9
60.2,61.2,62.3,61.1,63.5,73.4,72.5,63.2
42,43.1,43.4,41.6,44.6,52.8,49.9,43.5
41.2,42.8,42.6,42.8,43.7,55.8,54.1,43.2
18.8,19.7,19.1,19.9,18.3,29.2,27.6,17.1
21.1,25.1,21.7,26.5,20,34.7,34.6,14.8
23.3,24.9,24.3,25.7,23.8,35.4,34.3,19.1
39.8,40,40.1,39.4,41.8,52.5,50.3,38
52.7,52.3,53.2,50.2,54.4,65.4,62.3,54.5
55.8,57.3,57.4,54.9,59.1,69.5,66.2,58.7
70.3,70.5,70.8,69.6,72.8,82.3,78.9,71.5
74.8,74.7,75.2,74.6,76.1,86.6,84.9,75.4
74.8,74.7,75.6,74.2,76.7,87.5,87,76
64,65.2,64.8,64.4,65.8,80,77.5,64.8
53.6,54.8,54.9,54.4,55.6,68.2,67.4,55.4
36.4,37.5,37.4,37,37.9,50.1,48.2,37.6
24.2,27,25,28.4,25.6,41,38.3,22.9
18.8,21.5,19.1,24.5,18.6,34.1,32.2,15.1
25.7,25.9,25.9,24.6,27.4,41,36.2,23.1
36.8,37.1,37,37.5,38.1,50.4,48.2,35.9
47.9,48.4,49,47.4,49.8,63.2,59,48.4
57.7,57.5,58.2, ,59.8,70.1,66.2,59.5
69.3,69.8,70.3, ,71.8,82.4,78,69.8
77.6,77,78.6,77.4,79.4,89.5,87.5,78.9
73.5,74,74,74.8,74.7,86.1,85.7,73.5
60.4,60.6,60.4,62,61,75.7,74.6,61.1
52.3,53.5,53.3,54.1,54.9,69.5,65.7,54.3
38.6,39,38.1,39.1,39.6,55.1,52.5,38
28,28.6,28.2,29.2,29.5,43.4,40.5,26.8
31.3,31.8,30.9,32.2,32.2,47.9,44.9,28.7
28.6,30.1,29,29.8,30.1,44.2,38.2,26.8
50.6,51.5,51,50.1,54.1,70,65.5,52.2
52.6,54.3,54.3,53.7,56.2,69.4,64.6,55
63.7,63.3,64.5,62.5,66.7,80.2,76,65.5
73,73.1,73.3,74.1,75.7,90.5,88.9,72.1
80.3,78.7,80,79.6,82.4,95.4,95.2,81.3
72.6,72.3,72.6,73.5,74.8,88.7,89.2,73.2
64,64.4,64.4,64.9,66.5,82.6,82,65.6
48,48.5,48.3,48.8,50.3,64.6,61.9,48.4
39.1,40.4,39.8,41.6,42.1,55.9,56.6,39.8
27,27.8,27.1,28.3,28.5,42.2,39.3,26.4
25.7,26.5,24.5,26.7,26.4,39.4,36.8,22
28.9,29.8,29.1,29.4,30.7,43.4,40.3,26.2
34,35.4,34.5,36.3,36.1,51.3,48.7,31.3
43.3,43.6,44.2,42.9,46.1,58.5,55.4,43.4
59.4,59.4,59.7,58.9,61.5,74,70.8,59.2
69.6, ,70.6,69.7,72.6,84.6,82.4,69.7
73.1,72.9,73.8,73.6,76.3,85.9,85.8,73.8
74,74.1,74.6,74.2,75.9,86.5,87.1,74
68.3,68.6,69.4,67.9,70.2,83.2,80.6,69
50.6,50.6,51.3,49.5,52.2,66.5,60.7,50.8
35.6,36.1,36.4,36.4,38.1, ,47.8,35.3
24.1,24.8,24,26.3,24.9,42.2,36.9,20.4
25,26.4,25.1,28.2,25.6,42.6,40.9,19.8
21.5,22,21.6,21,23.4,34.4,29.9,19
34.2,33.6,34.4,36.6,37.2,53.9,48.8,33.3
48.5,47.4,48.8,48.3,51.6,64.2,61.5,49.5
58.8,58,59.8,57.7,62.9,73.9,69.7,60.5
69.8,68.3,70.9,67.7,72.7,82.2,78.4,70.8
71.3,71.4,71.8,72.4,73.4,85.8,84.2,70.1
73.1,71.9,73.2,74.1,74.1,85.7,85.5,72.3
62.7,61.7,62.8,62.8,64.6,77.7,74.7,63.5
53.2,52.9,53.4,54.4,54.9,69.8,68.5,53.8
33,32.8,33.4,34.3,34.2,49,47.1,30.3
27.8,26.9,28,28,29.1,39.5,37,27.5
27.2,26.9,27.6,28.8,27.6,42.4,39.4,24.1
24.6,25.6,25.1,29.4,23.8,43.4,40.3,19.3
42.2,42.2,41.8,43.5,43.8,63.2,60.2,40.6
