Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Jul-03,4.021612903,3.122580645,5.822258065,2.532903226,1.790967742,1.462,1.696774194,1.75,2.701612903,3.467333333,2.738064516,4.166774194
Aug-03,4.019310345,3.013225806,5.641935484,2.367419355,1.55,,1.49483871,,1.692222222,3.42,1.170967742,3.901290323
Sep-03,2.102105263,3.153,3.341333333,2.140333333,1.679285714,,1.537777778,1.71875,1.54,3.42,0.661666667,3.993666667
Oct-03,2.022258065,3.156774194,2.236129032,,2.376451613,1.872173913,0.988064516,,,3.42,0.564516129,4.146774194
Nov-03,2.044,3.248333333,2.108333333,,2.706,2.267,1.999333333,1.8812,3.372142857,3.42,0.56,4.323
Dec-03,1.980967742,3.595769231,2.017741935,,2.752258065,2.543333333,2.360434783,2.075483871,3.691935484,3.42,3.151935484,4.381612903
Jan-04,1.936774194,3.671290323,1.925483871,,2.996774194,2.71483871,,2.420322581,3.69,3.428387097,3.771935484,4.003225806
Feb-04,1.944827586,4.323448276,1.885517241,,3.342413793,3.253448276,,2.951724138,4.579130435,3.508275862,4.405172414,3.941724138
Mar-04,2.280967742,3.710322581,1.873225806,,2.831935484,2.429032258,,2.171612903,3.650967742,3.450322581,3.723225806,4.14483871
Apr-04,2.116666667,3.409333333,1.987333333,,2.405666667,2.188,1.954782609,1.838333333,3.278,3.573666667,3.329,4.118333333
May-04,3.357419355,3.07516129,4.016774194,,2.085483871,1.852903226,1.787419355,1.621290323,3.10516129,3.696451613,3.019032258,4.263548387
Jun-04,3.452758621,2.974666667,4.129333333,2.33,1.463214286,1.131428571,1.444,1.3995,2.633181818,3.831666667,2.505666667,4.877333333
Jul-04,4.276774194,3.215483871,4.922258065,3.043103448,1.804193548,1.460645161,1.643870968,1.558709677,2.861935484,3.939354839,2.714193548,4.489354839
Aug-04,4.268387097,3.093225806,5.255483871,2.922413793,1.57483871,1.2475,1.322903226,1.342580645,2.27,3.343870968,1.737096774,4.069032258
Sep-04,2.942,3.093666667,3.681,3.102,1.59137931,1.441666667,1.202333333,1.418,,3.217,0.696,4.091
