"","RVT","CDYT","KYT","HYT","GIT","GOT","NPT","DCT"
"139",-4.09999999999999,-3,-4.59999999999999,-2.60000000000001,-4.7,-3.40000000000001,-1.8,-5.40000000000001
"140",-13.1,-13.4,-13.6,-12.8,-13.7,-10.4,-11.1,-12.4
"141",-8.1,-7.1,-7.1,-7.9,-6.1,-6.2,-8.89999999999999,-6.8
"142",-13.7,-14.5,-15.2,-15,-15.3,-14.4,-13.2,-16.3
"143",-10.6,-10.4,-9.9,-9.9,-10.1,-11.7,-12,-11.2
"144",3.3,3.2,2.7,3,2.7,4.5,4.4,1.9
"145",-2.7,-1.7,-1.9,-2.4,-2.1,-3.7,-6.7,-1.9
"146",22,21.4,22,20.3,24,25.8,27.3,25.4
"147",2,2.8,3.3,3.6,2.1,-0.599999999999994,-0.900000000000006,2.8
"148",11.1,9,10.2,8.8,10.5,10.8,11.4,10.5
"149",9.3,9.8,8.8,11.6,9,10.3,12.9,6.59999999999999
"150",7.3,5.60000000000001,6.7,5.5,6.7,4.90000000000001,6.3,9.2
"151",-7.7,-6.40000000000001,-7.40000000000001,-6.09999999999999,-7.60000000000001,-6.7,-6,-8.09999999999999
"152",-8.59999999999999,-7.89999999999999,-8.19999999999999,-8.59999999999999,-8.3,-6.10000000000001,-7.2,-7.60000000000001
"153",-16,-15.9,-16.1,-16.1,-16.2,-18,-20.1,-17.2
"154",-8.9,-8.1,-8.5,-7.2,-8.2,-8.7,-5.3,-8.6
"155",-12.1,-12.6,-12.7,-13.3,-13.6,-13.7,-17.3,-13.4
"156",-1.3,-1.3,-2.6,-1.6,-2.1,-2.8,-2.5,-4.4
"157",3.2,3.3,4.6,2.7,4.3,4,3.5,4.2
"158",5.1,5.6,5.4,6.9,5.4,7.9,8.40000000000001,5.1
"159",9.3,8.2,9.7,6.6,10,7.2,6.7,12.1
"160",16.1,15.8,15.5,16,15.4,15.5,15.4,15.8
"161",10.2,6.75000000000001,10.9,10.8,11.1,10.6,11.6,10.5
"162",3.5,6.75,3.2,3.89999999999999,3.7,1.30000000000001,3.39999999999999,4.09999999999999
"163",0.900000000000006,1.19999999999999,0.799999999999997,0.600000000000009,-0.399999999999991,0.599999999999994,1.3,0.200000000000003
"164",-5.7,-5.5,-5.19999999999999,-6.3,-5.7,-3.3,-6.5,-5
"165",-17.7,-18,-18.1,-18.4,-18,-16.7,-19.9,-18.2
"166",-15,-14.5,-14.9,-13.1,-14.1,-12.15,-12.9,-15.5
"167",-11.5,-11.3,-12.4,-10.1,-13.2,-12.15,-10.9,-14.9
"168",0.899999999999999,1.6,1.1,1.9,0.700000000000003,0.399999999999999,4,-0.599999999999998
"169",-3.5,-4.4,-3.5,-7.2,-2.2,-8.2,-11,-0.800000000000001
"170",12.7,11.6,12.8,15.6,13.8,19.5,18.9,14.3
"171",14.3,13.8,14.4,11.7,14.4,10.3,12.7,16.2
"172",10.3,10.6,11,9.40000000000001,11.3,9.7,8.2,11
"173",11,10.3,11.1,10,9.8,8.3,8.7,10.3
"174",1.5,3.10000000000001,0.899999999999991,4.7,0.700000000000003,3.59999999999999,5.8,-0.700000000000003
"175",1.8,0.5,1.40000000000001,1.69999999999999,0.699999999999989,-0.0999999999999943,1.3,2.2
"176",-10.4,-10.2,-10.4,-11.3,-9.5,-8,-10.8,-8.8
"177",-9.5,-8.8,-9.4,-8.4,-9.7,-7.90000000000001,-6.2,-9.7
"178",-20.2,-20.1,-20,-20.1,-20.7,-20.8,-21.4,-23.5
"179",-5.2,-5.9,-5.4,-6.3,-5.1,-9.5,-10.1,-2.8
"180",-0.600000000000001,0,-0.399999999999999,0.800000000000001,-1.5,2.9,2.4,-3.4
"181",-2.6,-1.3,-2.5,0.599999999999998,-3.8,1,0.899999999999999,-4.8
"182",17.6,16.6,16.7,14.1,20,19.8,19.9,21.3
"183",8.4,7.5,9,7,8.5,1.8,2.9,10.7
"184",6.6,6.4,7.3,5.1,6.8,3,2.1,7
"185",12.2,13.9,11.8,14.4,12.4,14.8,14.3,11.4
"186",4.89999999999999,4.09999999999999,4.59999999999999,3.7,4.09999999999999,4.60000000000001,7.09999999999999,4.2
"187",-3.7,-3.59999999999999,-3.3,-2.7,-3.3,-4,-4.19999999999999,-3.2
"188",-0.399999999999991,-1,-0.700000000000003,-1.2,-1.59999999999999,-1.90000000000001,0.299999999999997,-1.7
"189",-15.3,-14.4,-15.5,-15.3,-14.1,-13.3,-15.9,-14
"190",-13.4,-14.9,-13.1,-15.1,-13.6,-15.4,-16.3,-13
"191",-10.3,-10.2,-9.9,-7.9,-10.8,-11,-10.9,-12.1
"192",-4.6,-2.3,-4.5,-1.8,-5.2,-1.2,-1.1,-9
"193",7.6,7,7.4,5.6,8.3,8,7.3,10.1
"194",8.9,8.5,8.5,9.1,10.5,12.5,13.5,13.3
"195",7.8,7.9,8,4.6,6.6,2.3,1.6,6.90000000000001
"196",6.6,7.8,6.7,7.2,7.8,7.2,6.00000000000001,8
"197",15.5,15.2,16.5,16.5,16.2,16.8,17.5,15.7
"198",1.3,0.800000000000011,0.300000000000011,2.3,-0.400000000000006,-0.900000000000006,-0.100000000000009,-0.700000000000003
"199",-1.5,-2.40000000000001,-1.90000000000001,-2.7,-2.5,-3.3,-0.299999999999997,-1.5
"200",-7.09999999999999,-6.90000000000001,-6.8,-7,-6.59999999999999,-4.5,-6.2,-5.60000000000001
"201",-10.3,-10.2,-10.4,-9.7,-10.2,-6.8,-8.39999999999999,-11.8
"202",-11.4,-10.1,-9.8,-11.1,-11.7,-13.6,-11.4,-10.8
"203",-19.9,-19.8,-19.7,-19,-19.1,-20.6,-21.1,-21.6
"204",0.599999999999998,-1,1.9,0.399999999999999,0.400000000000002,-1.8,-2.8,0.700000000000003
"205",10.9,11.7,8.9,11.1,11.5,14.9,14.2,10.9
"206",5.5,6.2,4.5,6.3,4.40000000000001,7.5,8.3,5.4
"207",8.7,7.4,9.1,6.6,8.9,5.90000000000001,5.4,10.5
"208",7.1,12,7.3,6.2,9.2,7.7,5.3,8.2
"209",15.1,12,15.1,15.4,14.1,14.4,17.8,13.8
"210",4,3.40000000000001,3.40000000000001,5.3,3.39999999999999,4.2,5.2,3.69999999999999
"211",-7.2,-7,-7.40000000000001,-7.5,-7.7,-7.5,-8.3,-7.5
"212",-3.09999999999999,-3.10000000000001,-2.5,-4.2,-2.3,-2.7,-3.59999999999999,-1.5
"213",-14.2,-13.9,-13.6,-13.5,-15.1,-14.4,-14.4,-14.4
"214",-13,-12.1,-13.4,-10.7,-11.6,-12,-11.9,-14.8
"215",-11.8,-13.3,-12.5,-12.9,-14.5,-15.4,-13.9,-11.9
"216",-6.2,-5.3,-5.5,-3.9,-2.9,-2.5,-5.7,-7.4
"217",-0.100000000000001,0.399999999999999,0.0999999999999979,-1.8,-0.599999999999998,9.2,-2.2,0.299999999999997
"218",18.2,17.7,17.3,17.5,17.2,9.2,21.3,18.3
"219",1.3,1.6,2.2,1.7,2.8,3.7,1.2,3.09999999999999
"220",24.1,23.3,23.1,21.2,23.9,19.4,21.2,26.4
"221",9.7,9.40000000000001,10.4,8.8,9.5,8.8,8.90000000000001,7.39999999999999
"222",-0.200000000000003,-0.600000000000009,-0.900000000000006,2.2,-1.3,-1.7,1.5,-0.699999999999989
"223",-2.40000000000001,-3.09999999999999,-2.7,-3.10000000000001,-1.8,-7.8333333333333,-1.5,-1.7
"224",-4.5,-4,-4.39999999999999,-3.8,-6,-7.8333333333334,-4.60000000000001,-5.2
"225",-19.2,-18.9,-19.4,-20.2,-17.7,-7.83333333333329,-20.4,-18.8
"226",-13.8,-13.6,-13.4,-11.6,-14.7,-13.2,-12.4,-16.8
"227",-6.4,-6.4,-6,-6.6,-5.1,-8.6,-10.3,-4
