"","Var1","Var2","Cor","Lag","Months"
"567","G49","DC",0.250346283582896,1.66666666666667,20
"568","G49","RVT",0.348361987023404,-1.41666666666667,-17
"569","G49","CDYT",0.346938889216814,-1.41666666666667,-17
"570","G49","KYT",0.344295373917816,-1.41666666666667,-17
"571","G49","HYT",0.33092298817017,-1.41666666666667,-17
"572","G49","GIT",0.350010071545695,-1.41666666666667,-17
"573","G49","GOT",0.364661683759871,-1.41666666666667,-17
"574","G49","NPT",0.351541930806276,-1.41666666666667,-17
"575","G49","DCT",0.344888792831814,-1.41666666666667,-17
"576","G49","Pu",0.369581160221881,-0.0833333333333333,-1
"577","G51","W60",0.291090786137327,0,0
"578","G51","W63",0.39404710745791,0,0
"579","G51","W67",0.408051438312605,-0.0833333333333333,-1
"580","G51","W70",0.25180790910886,-0.166666666666667,-2
"581","G51","W73",0.243644684218254,-0.25,-3
"582","G51","W74",0.379089781582917,0,0
"583","G51","W78",0.437599082781929,-0.0833333333333333,-1
"584","G51","W80",0.38502601864476,0,0
"585","G51","W81",0.412155186315705,0,0
"586","G51","W115",0.354965294986764,0,0
"587","G51","W116",0.593390357136293,0,0
"588","G51","W118",0.277705512977696,-1.16666666666667,-14
"589","G51","G40",0.311447720363989,-0.166666666666667,-2
"590","G51","G42",0.238277880228642,0,0
"591","G51","G45",0.323671575297804,0,0
"592","G51","G49",0.32300596527591,0,0
"593","G51","G53",0.385960809647708,0,0
"594","G51","G65",0.680654607831784,0,0
"595","G51","RV",0.232393715242685,0,0
"596","G51","CDY",0.170669199853558,0.0833333333333333,1
"597","G51","KY",0.239273345279417,0,0
"598","G51","HY",0.198535205974095,0.0833333333333333,1
"599","G51","GI",0.347572294653218,0,0
"600","G51","GS",0.267647830590737,0,0
"601","G51","GO",0.188359271652101,0,0
"602","G51","NP",0.270591003863848,0.0833333333333333,1
"603","G51","DC",0.203845163680796,0,0
"604","G51","RVT",0.292366537069101,-0.25,-3
"605","G51","CDYT",0.300103193257867,-0.25,-3
"606","G51","KYT",0.290194183550329,-0.25,-3
"607","G51","HYT",0.307287113130078,-0.25,-3
"608","G51","GIT",0.290801917726202,-0.25,-3
"609","G51","GOT",0.278579205448076,-0.25,-3
"610","G51","NPT",0.286147093933081,-0.25,-3
"611","G51","DCT",0.279556839646123,-0.25,-3
"612","G51","Pu",0.594164899119681,-0.0833333333333333,-1
"613","G53","W60",0.618847564234677,0,0
"614","G53","W63",0.448695933203258,0,0
"615","G53","W67",0.396990236740594,0,0
"616","G53","W70",0.165781372689483,0.833333333333333,10
"617","G53","W73",0.179097225196001,-1.5,-18
"618","G53","W74",0.475164120818722,0,0
"619","G53","W78",0.438614339134043,-0.0833333333333333,-1
"620","G53","W80",0.39027693541695,0,0
"621","G53","W81",0.371743381991952,1,12
"622","G53","W115",0.23168979563776,-1.41666666666667,-17
"623","G53","W116",0.412938417876596,0,0
"624","G53","W118",0.270750398687639,0.416666666666667,5
"625","G53","G40",0.224657701495102,0,0
"626","G53","G42",0.525230601937762,0,0
"627","G53","G45",0.627713426192059,0,0
"628","G53","G49",0.760811294753781,0,0
"629","G53","G51",0.385960809647708,0,0
"630","G53","G65",0.36839171619749,0,0
"631","G53","RV",0.186833023396324,-1.33333333333333,-16
"632","G53","CDY",0.198277733930449,0.666666666666667,8
"633","G53","KY",0.230133211721375,-1.33333333333333,-16
"634","G53","HY",0.205627156053681,0.666666666666667,8
"635","G53","GI",0.210594001519879,-1.33333333333333,-16
"636","G53","GS",0.235796925772694,1.66666666666667,20
"637","G53","GO",0.194740117201409,0.666666666666667,8
"638","G53","NP",0.265233051965829,-1.33333333333333,-16
"639","G53","DC",0.211636778270283,1.66666666666667,20
"640","G53","RVT",0.369539663887997,-1.41666666666667,-17
"641","G53","CDYT",0.370148537085962,-1.41666666666667,-17
"642","G53","KYT",0.370593862086721,-1.41666666666667,-17
"643","G53","HYT",0.353758040863581,-1.41666666666667,-17
"644","G53","GIT",0.379767333730818,-1.41666666666667,-17
"645","G53","GOT",0.39222585965155,-1.41666666666667,-17
"646","G53","NPT",0.364914906802394,1.58333333333333,19
"647","G53","DCT",0.377978216165827,1.58333333333333,19
"648","G53","Pu",0.542736181017267,-0.0833333333333333,-1
"649","G65","W60",0.311084374539546,0,0
"650","G65","W63",0.337997804227018,-1.08333333333333,-13
"651","G65","W67",0.40256651954897,-0.0833333333333333,-1
"652","G65","W70",0.230382875404938,0,0
"653","G65","W73",0.203244928774343,0,0
"654","G65","W74",0.378982931373079,0,0
"655","G65","W78",0.455575069703031,-0.0833333333333333,-1
"656","G65","W80",0.35015916999187,0,0
"657","G65","W81",0.337278213431944,-1,-12
"658","G65","W115",0.283407917940918,0,0
"659","G65","W116",0.454473877952799,0,0
"660","G65","W118",0.324874713255722,-1.16666666666667,-14
"661","G65","G40",0.292566612768355,-0.166666666666667,-2
"662","G65","G42",0.240151409224758,0,0
"663","G65","G45",0.346614548595454,0,0
"664","G65","G49",0.341293919670718,0,0
"665","G65","G51",0.680654607831784,0,0
"666","G65","G53",0.36839171619749,0,0
"667","G65","RV",0.365418529035748,0,0
"668","G65","CDY",0.304196610024854,0,0
"669","G65","KY",0.33465563299624,0,0
"670","G65","HY",0.248416182105994,0,0
"671","G65","GI",0.448682318551487,0,0
"672","G65","GS",0.387645328647871,0,0
"673","G65","GO",0.259813445110963,0,0
"674","G65","NP",0.197014792201519,0.0833333333333333,1
"675","G65","DC",0.380925017237257,0,0
"676","G65","RVT",0.180893800821739,0.75,9
"677","G65","CDYT",0.184396072943951,0.75,9
"678","G65","KYT",0.1831496161685,0.75,9
