"","W60","W63","W67","W70","W73","W74","W78","W80","W81","W115","W116","W118"
"1",-0.0749460000001818,0.0100320000001375,0.0723809999999503,0.00836200000003373,-0.208275999999842,-0.148709999999937,-0.0567889999999807,0,0,-0.0301509999999325,-0.03531299999986,-0.13793099999998
"2",-0.139166999999816,-0.00628200000028301,0.0848060000000714,0.0985129999999117,-0.175161000000116,-0.41906199999994,-0.0307109999998829,0,0,0.00358899999991991,0.108437999999978,-0.86206900000002
"3",-0.127500000000055,0.00690500000018801,0.122802000000092,-0.318246000000272,-0.184305000000222,-0.221938000000137,-0.048488000000134,-0.22580599999992,0,-0.0136999999999716,0.0760780000000523,0
"4",-0.347500000000309,-0.218386999999893,0.116451999999981,-0.190967999999884,0.0367740000001504,-0.688032000000021,-0.0387100000000373,-0.225807000000259,0,-0.0799999999999272,-0.0564510000001519,0
"5",-0.21088699999973,-0.52806499999997,-0.468710000000101,0.100644999999986,0.392902999999933,-0.558709999999792,-0.316128999999819,-0.709676999999829,-1.5,-0.043871000000081,-0.0580649999999423,-0.129032000000052
"6",-0.0984880000000885,-0.88420300000007,-2.68960599999991,1.17325699999992,-0.283184999999776,0.235866999999871,-1.09667300000001,1.28629000000001,-6.16666699999996,0.213821000000053,-1.56999999999994,0.660282000000052
"7",-0.243750000000091,-1.61579699999993,-1.46749,0.756421000000046,0.900926999999683,-0.302318999999898,-0.606552000000192,-0.673386999999821,-2.33333300000004,-0.248014999999896,-0.44121199999995,0.813578000000007
"8",0.00395800000023883,0.00615100000004531,-0.651656000000003,-1.17415099999971,0.602990000000318,0.0795269999998709,-0.630322999999862,-1.28494600000022,0.966666999999916,-0.259104000000207,-0.441212000000178,-1.1114950000001
"9",-0.00708299999996598,0.12402099999963,0.261021000000028,-0.823520000000372,-0.808604000000287,0.116230000000087,-0.129231000000118,0.177083000000039,0.314583000000084,-1.01944399999979,-0.44121199999995,-0.764582999999902
"10",0.448588999999629,0.161979000000429,0.0489789999999175,0.00218700000004901,-0.293729999999869,0.366824000000179,-0.140768999999864,1.68958299999986,0.518749999999955,-0.240333000000192,0.476969000000054,-0.46875
