"","RV","CDY","KY","HY","GI","GS","GO","NP","DC"
"111",1.02,2.23,2.37,0.975,2.42,1.18,0.77,0.95,0.43
"112",-0.18,-0.14,0.27,2.03,-0.51,2.72,0.55,0.04,0.35
"113",8.72,2.4,2.3,-1.16,6.22,1.15,-0.5,-0.16,0.47
"114",-10.04,-2.03,-3.92,0.83,-5.57,-4.38,0.9,0.01,-0.93
"115",3.7,0.98,1.75,-1.72,-0.3,5.26,-0.55,0.22,1.43
"116",-1.89,-1.66,-0.72,-0.45,-1.44,-4.69,-0.7,-0.33,-1.82
"117",1.08,3.19,2.46,1.08,2.43,1.88,1,0.08,1.3
"118",-3.88,-4.85,-4.4,-3.07,-3.22,-2.96,-1.62,-0.86,-1.25
"119",0.52,0.5,-0.05,0.24,1.59,0.54,0.39,0.11,0.29
"120",-0.36,-0.44,-0.05,-0.45,-1.22,-0.83,-0.36,-0.11,-0.41
"121",0.36,0.35,0.64,0.45,0.12,-0.02,0.11,0.13,0.13
"122",0.98,1.35,1.17,1.63,1.87,1.16,0.58,0.86,0.33
"123",-0.02,0.98,1.38,0.76,-0.59,0.96,0,0.21,-0.27
"124",1.87,0.59,0.14,0.25,2.3,-0.5,0.48,-0.58,-0.01
"125",5.22,4.25,1.92,2.73,4.53,6.03,2.31,0.58,2.19
"126",-2.47,-5.4,-0.67,-2.98,-4.67,-5.34,-1.96,-0.13,-1
"127",-2.97,0.21,-1.14,0.65,-0.23,-0.81,0.24,0.04,2.01
"128",-1.73,-1.82,-2.45,-2.08,-2.21,-0.54,-0.34,-0.55,-2.66
"129",-0.85,-0.1,-0.68,-0.78,-1.36,-1.07,-0.51,-0.27,-0.54
"130",-0.43,-0.16,0.59,-0.08,0.14,0.02,-0.57,0.06,-0.06
"131",0.01,-0.29,-0.79,-0.45,-0.2,-0.49,-0.11,-0.17,-0.29
"132",0.14,0.49,0.72,0.11,1.25,0.5,0.23,0.06,0.56
"133",0.14,-0.36,-0.74,0.22,-1.21,-0.16,-0.16,0.02,-0.51
"134",0.14,0.3,0.78,0.0599999999999999,0.74,0.38,-0.08,-0.2,0.21
"135",0.14,2.83,2.55,1.94,1.91,2.86,0.39,0.79,0.96
"136",0.14,0.43,4.08,2.76,5.77,1.74,1.08,0.76,1.64
"137",0.14,-0.2,-3.02,1.71,-6.98,-1.62,-1.07,0.42,-1.77
"138",0.14,0.27,-0.44,-3.66,2.65,0.49,0.22,-0.94,-0.68
"139",0.14,1.37,-0.35,1.52,-2.07,1.51,0.1,-0.43,2.42
"140",-0.78,-4.44,-3.07,-4.14,-1.47,-5.45,-0.42,-0.29,-2.77
"141",5.52,2.99,4.27,0.39,1.37,1.12,1.12,1.46,0.32
"142",-6.06,-1.62,-4.59,-1.01,-1.99,-0.83,-1.65,-1.86,-0.15
"143",0.72,-1.62,0.06,0.12,0.9,0.61,0.27,0.03,0.23
"144",0.485,-0.57,-0.36,-0.13,-0.95,-1.18,-0.29,-0.03,-0.47
"145",0.485,0.73,1.01,0.73,0.89,1.16,0.37,0.35,0.49
"146",-1.1,-0.26,-0.02,-0.34,-0.22,-0.61,-0.08,0.18,-0.44
"147",3.78,2.85,3.33,2.3,0.58,1.81,0.93,0.0800000000000001,1.07
"148",-2.4,-1.46,-2.35,-1.4,0.88,1.96,-0.55,-0.23,0.67
"149",-1.3,-0.52,-0.38,0.83,-1.02,-2.29,-0.53,-0.25,0.25
"150",-0.62,-1,-1.04,-0.96,-1.11,-2.12,0.06,0.26,-2.1
"151",0.5,1.16,0.87,-0.95,0.78,1.12,1.62,-0.15,0.54
"152",-0.31,-1.22,-0.91,0.00999999999999995,-0.47,-0.71,-1.63,-0.18,-0.42
"153",-0.03,-0.06,0.0399999999999999,0.19,0.31,1.04,0.03,0.06,0.48
"154",-0.25,0.295,0.015,-0.04,-0.25,-0.03,-0.13,-0.16,0.3
"155",0.55,0.295,0.015,-0.04,1.13,0.37,0.06,0.05,-0.12
"156",-0.44,-0.77,-0.47,-0.21,-1.5,-1.45,-0.1,0.11,-0.73
"157",0.71,1.25,0.6,0.36,0.81,-0.06,0.71,0.18,0.27
"158",-0.34,-0.79,-0.12,-0.26,0.67,1.01,-0.68,-0.13,0.81
"159",4.16,2.93,3.75,1.37,2.19,1.7,2.15,0.49,-0.31
"160",-0.31,-1.46,2.17,3.19,2.94,4.41,-0.6,0.18,1.15
"161",-2.39,1.2,-5.1,-3.58,-5.14,-3.76,-1.06,-0.22,-0.84
"162",0.02,-2.56,0.54,0.91,-0.24,-2.16,0.2,0.08,-0.84
"163",3.65,1.34,0.21,1.9,1.63,0.44,2.74,-0.43,0.59
"164",-2.37,0.5,1.58,-1.48,-0.64,-0.37,-2.09,0.28,-0.14
"165",-0.68,-0.21,-0.04,-1.75,1.67,4.09,-0.8,0.81,1.39
"166",-2.04,-1.56,-3.01,-0.39,-3.08,-4.19,0,-1.05,-0.77
"167",-0.17,-0.67,-0.62,-0.31,-0.86,-1.35,-0.61,-0.31,-1.37
"168",-0.17,0.23,0.18,0.17,0.21,0.04,0.13,0.25,0.02
"169",0.11,0.19,0.08,0.59,0.01,0.24,0.03,-0.02,0.15
"170",0.05,-0.07,-0.25,-0.5,-0.14,-0.18,0.53,-0.14,-0.01
"171",2.56,1.38,3.24,0.46,2.72,3.31,1,0.1,1.28
"172",-1.98,-0.32,-2.64,2.45,-2.17,1.65,-1.33,0.51,0.84
"173",8.69,8.01,7.82,4.63,8.91,-0.17,2.61,2.22,0.11
"174",-6.97,-8.85,-8.36,-7.27,-7.46,-4.15,-2.73,-2.52,-2.06
"175",3.52,5.24,7.43,1.48,3.68,8.23,0.68,1.29,1.37
"176",-1.58,-3.86,-5.2,-1.08,-2.84,-4.09,-0.65,-1.28,-0.0600000000000001
"177",-2.52,-1.21,-1.41,-0.71,-1.75,-3.71,0.17,-0.01,-0.61
"178",-2.06,-0.73,-0.93,-0.35,-0.99,-0.98,-0.45,-0.42,-0.81
"179",1,1.21,0.63,0.95,0.47,0.31,0.46,0.59,0.06
"180",-0.98,-1.24,-0.64,-0.95,-0.29,-0.47,-0.39,-0.59,-0.24
"181",0.81,0.35,0.44,0.18,0.23,0.77,0.29,0.22,0.59
"182",-0.87,-0.33,-0.42,-0.16,-0.54,-0.41,-0.33,-0.24,-0.26
"183",2.06,2.89,3.07,3.12,1.98,2.96,0.69,0.83,0.91
"184",0.44,0.45,-0.29,2.2,1.55,0.89,0.05,0.26,-0.13
"185",3.83,0.82,4.23,-2.4,1.98,1.91,0.25,-0.1,-0.17
"186",-5.13,-1.28,-4.72,-0.92,-3.09,-3.7,-0.3,-0.62,0.45
"187",1.2,0.31,0.11,1.51,-1.34,0.99,0.55,1.08,0.89
"188",-1.02,-0.81,-0.2,-3.02,2.09,0.79,0.26,-0.7,0.26
