"","W78","G49","GI_P","GI_T","Pumping"
"114",1906.274194,3.643666667,8.27,69.5,97948692.92
"115",1906.621875,3.298709677,2.7,72.5,1794033096
"116",1906.134375,3.002903226,2.4,71.4,694313950
"117",1905.912903,3.187,0.96,63.5,1719246725
"118",1905.928125,3.71516129,3.39,44.6,81963183.33
"119",1905.980645,4.116,0.17,43.7,7693101.958
"120",1906.0625,4.33516129,1.76,18.3,7203311.5
"121",1906.128125,5.246774194,0.54,20,7164889.167
"122",1906.234483,5.039285714,0.66,23.8,6438371.875
"123",1906.459375,4.514193548,2.53,41.8,7574297.5
"124",1906.751613,3.838666667,1.94,54.4,35842117.92
"125",1906.9375,4.218064516,4.24,59.1,62342882.08
"126",1907.441935,5.313333333,8.77,72.8,127500826.7
"127",1908.484375,4.413809524,4.1,76.1,485411370.8
"128",1908.165625,3.855483871,3.87,76.7,3064518708
"129",1907.912903,3.999,1.66,65.8,366319170.8
"130",1907.98125,4.113548387,0.3,55.6,15625135.96
"131",1908.032258,4.173793103,0.44,37.9,7698841.583
"132",1908.046875,4.699666667,0.24,25.6,7210377.292
"133",1908.08125,5.377741935,1.49,18.6,7418393.833
"134",1908.110345,5.269615385,0.28,27.4,6696296.083
"135",1908.154839,4.620322581,1.02,38.1,7864460.333
"136",1908.203226,4.895,2.93,49.8,30587790.83
"137",1908.253125,5.01516129,8.7,59.8,39384138.75
"138",1908.470968,5.817666667,1.72,71.8,50718210
"139",1908.54375,5.342580645,4.37,79.4,813094987.5
"140",1908.003125,4.766451613,2.3,74.7,1729015950
"141",1907.43871,4.842666667,0.83,61,586203383.3
"142",1907.234375,4.717419355,2.2,54.9,15210426
"143",1907.18,4.346333333,0.21,39.6,8074244.083
"144",1907.125806,4.345806452,1.11,29.5,7496126.667
"145",1907.11875,4.539354839,0.16,32.2,7425903.708
"146",1907.086207,4.443793103,1.05,30.1,6700712.583
"147",1907.116129,4.204516129,0.83,54.1,25205850.63
"148",1907.103226,4.009333333,1.41,56.2,50786647.5
"149",1907.077419,3.505483871,2.29,66.7,79245697.5
"150",1907.14,3.190666667,1.27,75.7,636354991.7
"151",1906.121875,2.392258065,0.16,82.4,6151971583
"152",1904.46129,2.019354839,0.94,74.8,4176223542
"153",1903.56,3.142333333,0.47,66.5,98217667.5
"154",1903.303125,2.928064516,0.78,50.3,10858406.29
"155",1903.156667,3.148333333,0.53,42.1,8080868.833
"156",1903.1,3.567419355,1.66,28.5,7504515.583
"157",1903.046875,4.160645161,0.16,26.4,NA
"158",1903,3.76,0.97,30.7,NA
"159",1902.993548,3.599677419,1.64,36.1,NA
"160",1902.980645,3.974333333,3.83,46.1,NA
"161",1903.067742,3.450645161,6.77,61.5,NA
"162",1903.554839,3.214,1.63,72.6,NA
"163",1902.964516,2.506129032,1.39,76.3,NA
"164",1902.158065,2.981290323,3.02,75.9,NA
"165",1901.5,3.074333333,2.38,70.2,NA
"166",1901.240625,4.537741935,4.05,52.2,NA
"167",1901.246667,3.462,0.97,38.1,NA
"168",1901.3,3.909032258,0.11,24.9,NA
"169",1901.384375,4.429677419,0.32,25.6,NA
"170",1901.460714,4.426428571,0.33,23.4,NA
"171",1901.5,3.800967742,0.19,37.2,NA
"172",1901.541935,3.802,2.91,51.6,NA
"173",1901.6,3.300322581,0.74,62.9,NA
"174",1901.593333,4.561,9.65,72.7,NA
"175",1901.45,3.04483871,2.19,73.4,NA
"176",1900.66129,3.012258065,5.87,74.1,NA
"177",1900.858065,3.223,3.03,64.6,NA
"178",1901.24375,3.462258065,1.28,54.9,NA
"179",1901.58,3.457,0.29,34.2,NA
"180",1901.780645,4.013225806,0.76,29.1,NA
"181",1901.987097,4.471935484,0.47,27.6,NA
"182",1902.168966,4.481785714,0.7,23.8,NA
"183",1902.3,3.967,0.16,43.8,NA
"184",1902.403333,4.14,2.14,52.3,NA
"185",1902.532258,5.17,3.69,59.1,NA
"186",1902.841935,6.669666667,5.67,71.5,NA
"187",1903.141935,4.219354839,2.58,75.6,NA
"188",1902.396774,3.612258065,1.24,72.3,NA
"189",1901.726667,3.675333333,3.33,70.7,NA
"190",1901.6,3.934516129,1.28,56.6,NA
"191",1901.613333,4.172333333,2.84,43,NA
"192",1901.706452,4.212,1.88,32.2,NA
