"","W70","G40","CDY_P","CDY_T","Pumping"
"113",2397.445,3.673870968,2.1,59.5,90339507.5
"114",2397.372581,3.952,4.5,67.2,97948692.92
"115",2398.122813,4.063548387,2.47,71.1,1794033096
"116",2398.437692,4.258709677,3.45,70,694313950
"117",2397.45,3.483,1.79,61.2,1719246725
"118",2397.381071,3.650322581,4.98,43.1,81963183.33
"119",2398.611613,3.987333333,0.13,42.8,7693101.958
"120",2398.003438,3.802580645,0.63,19.7,7203311.5
"121",2397.857813,3.705,0.19,25.1,7164889.167
"122",2397.658621,3.456538462,0.54,24.9,6438371.875
"123",2398.656563,4.086129032,1.89,40,7574297.5
"124",2398.466129,3.899666667,2.87,52.3,35842117.92
"125",2398.09375,3.788387097,3.46,57.3,62342882.08
"126",2398.64871,5.153333333,7.71,70.5,127500826.7
"127",2397.938125,4.368387097,2.31,74.7,485411370.8
"128",2396.46,4.127419355,2.52,74.7,3064518708
"129",2395.817097,3.286333333,0.7,65.2,366319170.8
"130",2395.52125,3.002258065,0.6,54.8,15625135.96
"131",2395.524194,3.056333333,0.44,37.5,7698841.583
"132",2395.665,3.140689655,0.15,27,7210377.292
"133",2395.733438,3.154166667,0.64,21.5,7418393.833
"134",2395.85931,3.144615385,0.28,25.9,6696296.083
"135",2395.974194,3.121935484,0.58,37.1,7864460.333
"136",2396.18871,3.18,3.41,48.4,30587790.83
"137",2396.145625,3.41483871,3.84,57.5,39384138.75
"138",2396.843548,3.972,3.64,69.8,50718210
"139",2397.444688,4.257,3.91,77,813094987.5
"140",2396.986875,4.189032258,5.28,74,1729015950
"141",2396.249032,3.583,0.84,60.6,586203383.3
"142",2396.184688,3.386774194,3.83,53.5,15210426
"143",2396.366452,3.216,2.21,39,8074244.083
"144",2396.425161,3.312903226,0.59,28.6,7496126.667
"145",2396.496563,3.232333333,0.02,31.8,7425903.708
"146",2396.554138,3.178965517,0.75,30.1,6700712.583
"147",2396.582903,3.154193548,0.49,51.5,25205850.63
"148",2396.294194,3.21,3.34,54.3,50786647.5
"149",2395.839355,3.287096774,1.88,63.3,79245697.5
"150",2395.708667,3.296333333,1.36,73.1,636354991.7
"151",2394.749063,3.0225,0.36,78.7,6151971583
"152",2394.167742,3.047096774,1.52,72.3,4176223542
"153",2393.696333,2.89,0.3,64.4,98217667.5
"154",2393.699688,2.8496,0.24,48.5,10858406.29
"155",2393.864667,2.8092,0.535,40.4,8080868.833
"156",2393.956774,2.7688,0.83,27.8,7504515.583
"157",2393.945625,2.7284,0.06,26.5,NA
"158",2393.943571,2.688,1.31,29.8,NA
"159",2394.013548,2.61516129,0.52,35.4,NA
"160",2394.071935,2.763666667,3.45,43.6,NA
"161",2394.020645,2.792580645,1.99,59.4,NA
"162",2394.249,2.839,3.19,66.15,NA
"163",2394.7925,3.233,0.63,72.9,NA
"164",2394.482581,3.586129032,1.97,74.1,NA
"165",2393.951667,3.281111111,2.47,68.6,NA
"166",2393.858125,3.128666667,2.26,50.6,NA
"167",2394.011,2.9969333336,0.7,36.1,NA
"168",2393.995484,2.8652000002,0.03,24.8,NA
"169",2393.915313,2.7334666668,0.26,26.4,NA
"170",2393.993214,2.6017333334,0.45,22,NA
"171",2394.057576,2.47,0.38,33.6,NA
"172",2394.182258,2.518421053,1.76,47.4,NA
"173",2394.123871,2.714814815,1.44,58,NA
"174",2394.514333,3.428,9.45,68.3,NA
"175",2395.714063,3.769677419,0.6,71.4,NA
"176",2395.405484,4.684193548,5.84,71.9,NA
"177",2395.769,3.630666667,1.98,61.7,NA
"178",2394.904063,2.629354839,0.77,52.9,NA
"179",2394.789667,2.664,0.04,32.8,NA
"180",2394.760645,2.934347826,1.25,26.9,NA
"181",2394.790323,3.749354839,0.01,26.9,NA
"182",2394.872759,3.241428571,0.36,25.6,NA
"183",2394.898387,2.820645161,0.03,42.2,NA
"184",2394.939,2.847666667,2.92,49.7,NA
"185",2395.064839,3.417419355,3.37,56.1,NA
"186",2395.503226,4.207,4.19,70,NA
"187",2395.786129,4.021724138,2.91,74.1,NA
"188",2396.231935,4.575483871,3.22,70.5,NA
"189",2395.22,3.796521739,2.41,69.5,NA
"190",2394.77625,3.042580645,0.72,55.1,NA
"191",2394.879333,3.023333333,3.14,40.2,NA
"192",2395.196129,3.158064516,0.55,30,NA
"193",2395.369032,3.666774194,0.73,27.7,NA
"194",2395.597667,3.504827586,0.75,34.7,NA
"195",2395.845161,3.259032258,0.16,43.2,NA
"196",2396.104333,3.948571429,6.24,51.1,NA
"197",2397.767742,4.814193548,5.26,58.9,NA
"198",2397.996129,5.022666667,4.28,74.1,NA
"199",2398.312581,4.895483871,2.53,74.9,NA
"200",2397.637188,4.7,2.11,72.5,NA
"201",2397.154,3.901666667,3.12,65.6,NA
"202",2396.289375,3.146785714,0.08,55.4,NA
"203",2396.143667,3.256666667,1.12,45.3,NA
"204",2396.199032,3.880645161,0.62,25.5,NA
"205",2396.276129,4.978709677,0.75,24.5,NA
"206",2396.27069,3.49962963,0.26,36.2,NA
"207",2396.251613,3.168709677,0.95,42.4,NA
"208",2396.273333,3.195333333,0.97,49.8,NA
"209",2397.14,4.046774194,0.99,61.8,NA
"210",2397.045806,4.158666667,1.01,73.8,NA
"211",2396.817419,4.422258065,1.715,77.2,NA
"212",2396.872258,4.432258065,2.42,70.2,NA
"213",2396.184516,3.318,2.81,67.1,NA
"214",2396.884063,3.311333333,1.555,53.2,NA
"215",2396.760667,3.200333333,0.3,41.1,NA
"216",2396.717419,3.516451613,0.32,27.8,NA
"217",2396.629688,4.586774194,0.38,22.5,NA
"218",2396.713929,5.477857143,0.715,22.9,NA
"219",2396.89,3.540967742,1.05,40.6,NA
"220",2396.963,3.389310345,2.985,42.2,NA
"221",2397.316452,4.313448276,4.92,65.5,NA
"222",2397.951613,4.719,3.41,74.9,NA
"223",2398.38,5.253548387,3.015,74.3,NA
"224",2397.879677,5.021290323,2.62,71.2,NA
"225",2397.336333,4.112333333,2.615,67.2,NA
"226",2396.900625,3.649354839,2.61,48.3,NA
"227",2396.794,3.599666667,0.54,34.7,NA
"228",2397.058,3.69483871,2.29,28.3,NA
