"","W74","G42","GO_P","GO_T","Pumping"
"152",2476.795,4.248064516,1.85,88.7,4176223542
"153",2477.170333,4.506333333,0.22,82.6,98217667.5
"154",2477.377188,4.256451613,0.25,64.6,10858406.29
"155",2477.548387,4.486,0.12,55.9,8080868.833
"156",2477.598438,4.708064516,0.18,42.2,7504515.583
"157",2477.69125,4.98137931,0.08,39.4,NA
"158",2477.754643,4.913214286,0.79,43.4,NA
"159",2477.806875,4.839677419,0.11,51.3,NA
"160",2478.256129,5.487666667,2.26,58.5,NA
"161",2477.049063,4.388064516,1.66,74,NA
"162",2476.764333,3.994333333,0.6,84.6,NA
"163",2477.005938,3.846129032,0.8,85.9,NA
"164",2476.975172,3.95,3.54,86.5,NA
"165",2478.466129,4.896333333,1.45,83.2,NA
"166",2479.049688,5.930967742,0.65,66.5,NA
"167",2477.766,4.686666667,0.65,54.35,NA
"168",2477.7275,4.852758621,0.04,42.2,NA
"169",2477.6275,5.085357143,0.17,42.6,NA
"170",2477.744483,5.198148148,0.2,34.4,NA
"171",2477.809677,5.094347826,0.73,53.9,NA
"172",2477.672903,5.251666667,1.73,64.2,NA
"173",2476.996563,4.432903226,0.4,73.9,NA
"174",2478.869355,6.322666667,3.01,82.2,NA
"175",2477.008696,4.427741935,0.28,85.8,NA
"176",2476.926848,4.337419355,0.96,85.7,NA
"177",2476.845,4.297333333,0.31,77.7,NA
"178",2477.020938,4.590967742,0.48,69.8,NA
"179",2477.084667,4.504333333,0.03,49,NA
"180",2477.517097,5.473,0.49,39.5,NA
"181",2478.330968,6.59826087,0.1,42.4,NA
"182",2478.041379,5.656428571,0.39,43.4,NA
"183",2477.554839,5.317741935,0.06,63.2,NA
"184",2477.503226,5.404333333,0.75,65,NA
"185",2479.971613,6.733793103,0.8,68,NA
"186",2481.583871,7.970833333,1.05,82.8,NA
"187",2478.495484,5.323333333,0.75,87.4,NA
"188",2477.310968,4.91483871,1.3,83.4,NA
"189",2476.388667,5.080666667,1.56,81.5,NA
"190",2476.6025,5.421290323,0.63,68.2,NA
"191",2477.191,5.64,0.59,52.8,NA
"192",2477.595484,5.578,0.2,41.8,NA
"193",2478.286452,5.742083333,0.09,40.6,NA
"194",2478.801,5.908275862,0.74,48.6,NA
"195",2477.618065,5.581935484,0.08,61.1,NA
"196",2478.038,5.766551724,2.65,63.4,NA
"197",2480.958065,6.837931034,1.25,70.6,NA
"198",2480.704516,6.705666667,1.1,87.4,NA
"199",2477.445484,5.018064516,1,86.5,NA
"200",2476.743871,4.883225806,1.27,83.2,NA
"201",2476.444516,5.283666667,0.51,78.7,NA
"202",2476.495313,5.218387097,0.36,71.9,NA
"203",2476.315667,5.344666667,0.47,58.3,NA
"204",2476.794194,5.124615385,0.35,37.7,NA
"205",2477.371613,5.185714286,0.38,35.9,NA
"206",2477.212414,5.436666667,0.28,50.8,NA
"207",2477.918065,5.543225806,1.08,58.3,NA
"208",2476.97,5.129333333,1.29,64.2,NA
"209",2477.55871,5.371612903,0.9,71.9,NA
"210",2477.478065,5.151666667,1.4,86.3,NA
"211",2476.48129,4.448709677,0.57,90.5,NA
"212",2476.667419,4.630967742,3.58,83,NA
"213",2476.241,4.577666667,1.65,80.3,NA
