"","F6.W118","F6.G65","F6.DC_P","F6.DC_T","F6.Pumping"
"1",0.000171115122706677,-0.00433033068664124,-0.00103038890613769,0.00122293727283081,0.00322273952299626
"2",-0.00016806186230792,0.00591007713495439,0.00183677024640476,-0.00169386192209698,-0.00482194384890071
"3",0.000155278286155399,-0.00515943005036082,-0.00193816322078728,0.00152979676832623,0.00466171321270146
"4",-0.000212732914823824,0.00524921631212276,0.00193112607092997,-0.00168189799183543,-0.00488972417749985
"5",0.000241116749027966,-0.00649785266674502,-0.00228728718368983,0.00207600185879817,0.0060054965306095
"6",-0.000190443663798705,0.00589969413358392,0.00248657537485704,-0.00183594364380381,-0.00578688691877445
"7",0.000244511398802793,-0.00682836156672293,-0.00295857345820235,0.00205329914150339,0.00638656180208266
"8",-0.000214967585044122,0.00776585967998269,0.00353002781463738,-0.00230112416301765,-0.00713683830927272
"9",0.00029006242716198,-0.00944104382817192,-0.00428239725507648,0.00263349756026558,0.00832489757984509
"10",-0.000310965242225886,0.0122173349110244,0.00596303462321886,-0.00342971024397658,-0.0106238669365013
"11",0.000342609768599628,-0.0134536772070589,-0.00685813790892805,0.00379510611632732,0.0119514575389601
"12",-0.000428733205883219,0.0145741620044328,0.00752507245651603,-0.00423141738227161,-0.0129953597447379
"13",0.000372124694007974,-0.0159922129381711,-0.00881754652359884,0.00460613126199976,0.0142772678084518
"14",-0.000441815026982766,0.0172613616292151,0.00948592618369076,-0.00490849978794586,-0.0153327492069991
"15",0.00040625297946862,-0.0181542835917515,-0.0107093416429441,0.00503093670033489,0.0160208521992141
"16",-0.000351314225036153,0.0193227761039679,0.0119588811255113,-0.00514999679596086,-0.0164817485818735
"17",0.000396330089572741,-0.0205927480523681,-0.0130314824001439,0.00543369637006194,0.0171872650466981
"18",-0.000388204208742138,0.0235950804064409,0.0150595080919485,-0.00601469283398952,-0.0191703440855856
"19",0.000373500754400531,-0.024472062326355,-0.0165516977603667,0.00629564538862908,0.0199978655032506
