"","F3.W116","F3.G53","F3.GI_P","F3.GI_T","F3.Pumping"
"1",-0.350885894604862,-0.0472094875173023,-0.174446650432037,0.0297931106194679,0.0884658756895104
"2",-0.393050836273644,-0.0740290777859917,-0.157821538297308,0.0302576543319199,0.0691166663610637
"3",-0.39045088392159,-0.0825528547407237,-0.12482255348392,0.0265291029841116,0.0290481526693649
"4",-0.357120779391448,-0.0731137985848767,-0.0880153676052248,0.0206700060063446,-0.00532724652325861
"5",-0.321994642094073,-0.0578871624833365,-0.0632469170588371,0.0154055393775876,-0.0154282822729938
"6",-0.303066915313368,-0.047844018552291,-0.0504728058270057,0.0116759894110941,-0.00421076515368918
"7",-0.300581410960754,-0.047204452898375,-0.0390780851113517,0.010725084052022,0.0103006656834774
"8",-0.296120972619497,-0.0520409373273147,-0.0253604783366094,0.0104883028672805,0.0103908024911359
"9",-0.272964942561611,-0.0523902752111579,-0.00100457439784582,0.00854265778342037,-0.00569962279285346
"10",-0.228658800000508,-0.0419960555693043,0.0278512424150154,0.00427697931192038,-0.0243347606843722
"11",-0.177175466253305,-0.0247407687477521,0.048998229661656,-0.000530467947691721,-0.0302896768242361
"12",-0.134167736438768,-0.0101344165465568,0.058369973424128,-0.00333085869733582,-0.0209890511656364
"13",-0.104434421745599,-0.00399509411549291,0.0611527253047955,-0.00360002400302971,-0.00784945200187448
"14",-0.0788498303684125,-0.00351514925517592,0.0658520226126603,-0.00314528149521174,-0.00463658591166438
"15",-0.0449909282140839,-0.000718804077408367,0.0761933510636041,-0.00303477992051599,-0.0138873497997467
"16",-0.000687512416998382,0.00863624283884496,0.0885587530149567,-0.00412941385897102,-0.0247364307088771
"17",0.0441907358161176,0.0213913340793565,0.0948249774850224,-0.0057175956152247,-0.0246775997615115
"18",0.0772273603699169,0.0297557087719818,0.0917357120699352,-0.00616852533490144,-0.011870445958685
"19",0.0945895872324411,0.0287432399187524,0.0830479331504373,-0.0048897713509366,0.00336450893863867
"20",0.103874379923647,0.0205648852478214,0.0758847060340654,-0.00291310768162072,0.00871701692148005
"21",0.116003424707882,0.0119692622209959,0.0737060304899756,-0.00193422817099385,0.00246928187086664
"22",0.133989591122061,0.00781465963768206,0.0731778831954937,-0.00262879966489602,-0.00558788715362147
"23",0.151248115458812,0.00642221259759798,0.0687325699862037,-0.0040066498274116,-0.0044372641070152
"24",0.157785818989596,0.00125761904967288,0.0559492132794245,-0.00475114507282907,0.00792522130981686
"25",0.150368748430671,-0.0124856516240046,0.0388373468149729,-0.00403215690782624,0.0223254979762218
"26",0.135029197664178,-0.0324762602382778,0.0236386756975734,-0.00255117213329256,0.0277781220126908
"27",0.121400986590638,-0.0515836011093385,0.0146086089428155,-0.00176969204744411,0.0220591262481734
"28",0.113285601168649,-0.0646843880466939,0.00920680156970581,-0.00199354617634969,0.0138924473567493
"29",0.105666998756732,-0.0730108672047596,0.00183246109828762,-0.00301975335287077,0.0137231675664848
"30",0.0892354469028572,-0.082883698476632,-0.0112471983271569,-0.00333852597624479,0.0236519559031539
"31",0.0611599492806132,-0.0982504866021062,-0.0273834869597211,-0.00237492187157888,0.0352700797195354
"32",0.027917872878912,-0.116550367038349,-0.0400389231766849,-0.000782283997378,0.0379599637553147
"33",-0.00102539419726475,-0.130944084333843,-0.0454982581084005,-8.06973615541827e-05,0.0295129445774886
"34",-0.0216868693559519,-0.136414574578537,-0.0458538344733625,-0.00111189691843532,0.0176956470727076
"35",-0.0385781011772623,-0.135079407779903,-0.0469064329129885,-0.00309785507413186,0.0132950949325357
"36",-0.058927875904079,-0.132737918218217,-0.0516940250959393,-0.00468068673447687,0.0186421926509057
"37",-0.0854174069705337,-0.133567292869951,-0.0580375466473629,-0.0050976259439622,0.0255783571199657
"38",-0.112471202556967,-0.135788829286671,-0.0602817813348531,-0.00476915539492396,0.0217624604562999
"39",-0.131612473510829,-0.133455923657252,-0.0547523543502603,-0.00495202650594509,0.00930414312456337
"40",-0.139026740673035,-0.122396308316755,-0.0431160106016495,-0.00660378522495328,-0.00470428499038112
"41",-0.138807296535086,-0.104380276774913,-0.0314786521644462,-0.00910756233728131,-0.0116605970414519
"42",-0.138564346277805,-0.0857668810826867,-0.023770550196192,-0.0109383486909862,-0.00974424010512826
"43",-0.141337744248798,-0.0711345108076928,-0.0188200443040625,-0.0112221797012154,-0.00580377359682543
"44",-0.14228822651044,-0.0592492830200535,-0.0103390052819184,-0.0106399505992712,-0.00856660736657432
"45",-0.133094624479215,-0.0440867279406091,0.005270282832407,-0.0105471508994073,-0.0197004359565037
"46",-0.111174146044114,-0.0219549306745814,0.0251409719065265,-0.0116177152604909,-0.0316412788180631
"47",-0.0814803999505939,0.00544608459471845,0.0431560692307801,-0.013391535272399,-0.0355034660532307
"48",-0.0517489520443779,0.0314615228397892,0.0548673801749752,-0.0143788634154033,-0.0298505705892008
"49",-0.0257781248594321,0.0505964785321069,0.0617848658257115,-0.0137681369742948,-0.0216964466943545
"50",2.64978664206543e-05,0.0639066136299476,0.0692900084939881,-0.0119797825571437,-0.0197133609193906
"51",0.0318346985757815,0.0764767488082473,0.0807004216662702,-0.0104122938564477,-0.0255982658763726
"52",0.0712742369670947,0.0919545092772717,0.0936542300430179,-0.00998816715518849,-0.032361546893616
"53",0.113009640550445,0.1081075137946,0.102494669836686,-0.010116078557203,-0.0313895277188735
