"","W116","G53","GI_P","GI_T","Pumping"
"1",1667.225313,4.669354839,0.25,28.1,5292734.208
"2",1667.19,4.745769231,1.35,34.7,4789253.208
"3",1667.298438,4.646451613,1.32,42.5,5612045.333
"4",1667.374516,4.515,1.6,50.1,90082912.5
"5",1667.318065,4.308709677,2.19,64.1,150906056.3
"6",1667.26,3.956666667,0.7,70.3,623481137.5
"7",1665.69,3.828064516,5.25,76.1,1895572750
"8",1665.248788,3.447419355,1.77,77.7,3394302292
"9",1664.807576,3.380344828,1.01,67.5,527624533.3
"10",1664.366364,3.44531609233333,2.21,55.1,7659093.083
"11",1664.843333,3.51028735666667,1.83,29.1,5620878.333
"12",1665.221613,3.575258621,0.6,17.1,5363839.25
"13",1665.338438,3.64022988533333,0.99,26.3,5300682.083
"14",1665.481379,3.70520114966667,1.25,20.6,4796760.042
"15",1665.906452,3.770172414,1.07,35.6,5620881.375
"16",1666.800968,3.83514367833333,4.07,53.7,15669742
"17",1668.21625,3.90011494266667,5.51,62.9,49627316.25
"18",1668.539677,3.965086207,0.84,71.6,436543650
"19",1667.750455,4.03005747133333,2.58,79,2266257625
"20",1665.534,4.09502873566667,2.25,75.9,2375220771
"21",1664.857419,4.16,2.31,64.8,525805920.8
"22",1665.158125,3.894193548,0.58,52.9,7671901.542
"23",1665.331333,3.526666667,1.55,46.8,5627947.167
"24",1665.68625,4.161612903,0.11,32.1,5372231.208
"25",1665.890938,4.491612903,0.69,30.5,5310400.208
"26",1665.986552,4.588571429,0.13,31.4,4803384.792
"27",1666.142188,4.270645161,1.4,32,5628388.208
"28",1666.324516,3.721,1.19,51.7,65526290.42
"29",1667.27871,3.608387097,3.21,58.8,71207241.67
"30",1667.957333,3.220333333,1.73,76.9,560590725
"31",1665.683478,1.860322581,0.86,80.2,4202442708
"32",1663.875806,0.802903226,2.78,74.8,1999178304
"33",1663.495333,1.108,2.61,66.5,365496704.2
"34",1663.775938,3.377741935,2.43,45.9,7679852.458
"35",1663.990333,3.335333333,0.09,39.1,5634571.917
"36",1664.219032,3.734516129,0.02,33,5381064.208
"37",1664.331563,3.949032258,0.63,25.3,5300682.083
"38",1664.414286,4.223571429,1.32,25.8,4795436.917
"39",1664.542581,3.931290323,0.57,41.3,5618670.083
"40",1664.611935,3.731333333,3.36,51.9,95889271.67
"41",1666.021935,3.919032258,4.06,58.7,20973958.5
"42",1667.080645,3.524,3.57,68.4,147004084.6
"43",1666.913333,2.738064516,0.22,77.9,1868570354
"44",1663.611667,1.170967742,1.01,76.7,3658781292
