"","W115","G53","GI_P","GI_T","Pumping"
"1",1765.231875,4.669354839,0.25,28.1,5292734.208
"2",1765.201724,4.745769231,1.35,34.7,4789253.208
"3",1765.205313,4.646451613,1.32,42.5,5612045.333
"4",1765.191613,4.515,1.6,50.1,90082912.5
"5",1765.111613,4.308709677,2.19,64.1,150906056.3
"6",1765.067742,3.956666667,0.7,70.3,623481137.5
"7",1765.281563,3.828064516,5.25,76.1,1895572750
"8",1765.033548,3.447419355,1.77,77.7,3394302292
"9",1764.774444,3.380344828,1.01,67.5,527624533.3
"10",1763.755,3.44531609233333,2.21,55.1,7659093.083
"11",1763.514667,3.51028735666667,1.83,29.1,5620878.333
"12",1763.220645,3.575258621,0.6,17.1,5363839.25
"13",1762.954063,3.64022988533333,0.99,26.3,5300682.083
"14",1762.785862,3.70520114966667,1.25,20.6,4796760.042
"15",1763.209355,3.770172414,1.07,35.6,5620881.375
"16",1763.844194,3.83514367833333,4.07,53.7,15669742
"17",1764.770938,3.90011494266667,5.51,62.9,49627316.25
"18",1764.784063,3.965086207,0.84,71.6,436543650
"19",1764.426875,4.03005747133333,2.58,79,2266257625
"20",1764.87375,4.09502873566667,2.25,75.9,2375220771
"21",1764.586774,4.16,2.31,64.8,525805920.8
"22",1763.667188,3.894193548,0.58,52.9,7671901.542
"23",1763.083667,3.526666667,1.55,46.8,5627947.167
"24",1762.723438,4.161612903,0.11,32.1,5372231.208
"25",1762.45375,4.491612903,0.69,30.5,5310400.208
"26",1762.261724,4.588571429,0.13,31.4,4803384.792
"27",1762.127188,4.270645161,1.4,32,5628388.208
"28",1762.054194,3.721,1.19,51.7,65526290.42
"29",1762.182258,3.608387097,3.21,58.8,71207241.67
"30",1762.152333,3.220333333,1.73,76.9,560590725
"31",1762.30375,1.860322581,0.86,80.2,4202442708
"32",1762.729677,0.802903226,2.78,74.8,1999178304
"33",1762.064333,1.108,2.61,66.5,365496704.2
"34",1759.43875,3.377741935,2.43,45.9,7679852.458
"35",1758.008333,3.335333333,0.09,39.1,5634571.917
"36",1757.824516,3.734516129,0.02,33,5381064.208
"37",1757.732813,3.949032258,0.63,25.3,5300682.083
"38",1757.726429,4.223571429,1.32,25.8,4795436.917
