"","W81","G49","GI_P","GI_T","Pumping"
"1",1932,2.579354839,0.25,28.1,5292734.208
"2",1932,2.623103448,1.35,34.7,4789253.208
"3",1932,2.561290323,1.32,42.5,5612045.333
"4",1932,2.361,1.6,50.1,90082912.5
"5",1932,2.136129032,2.19,64.1,150906056.3
"6",1930.5,1.943333333,0.7,70.3,623481137.5
"7",1924.333333,1.826774194,5.25,76.1,1895572750
"8",1922,1.542258065,1.77,77.7,3394302292
"9",1922.966667,1.543333333,1.01,67.5,527624533.3
"10",1923.28125,1.765806452,2.21,55.1,7659093.083
"11",1923.8,2.079,1.83,29.1,5620878.333
"12",1924,2.501612903,0.6,17.1,5363839.25
"13",1924.03125,3.286774194,0.99,26.3,5300682.083
"14",1924.857143,3.313928571,1.25,20.6,4796760.042
"15",1925.6875,2.842258065,1.07,35.6,5620881.375
"16",1926.75,2.246333333,4.07,53.7,15669742
"17",1928,2.103548387,5.51,62.9,49627316.25
"18",1928.916667,1.632666667,0.84,71.6,436543650
"19",1921.65,1.593548387,2.58,79,2266257625
"20",1920.764706,1.747741935,2.25,75.9,2375220771
"21",1921,1.816333333,2.31,64.8,525805920.8
"22",1922,1.843225806,0.58,52.9,7671901.542
"23",1922,1.574,1.55,46.8,5627947.167
"24",1922.21875,2.022258065,0.11,32.1,5372231.208
"25",1922.9375,2.193870968,0.69,30.5,5310400.208
"26",1923,2.406071429,0.13,31.4,4803384.792
"27",1923.21875,2.137142857,1.4,32,5628388.208
"28",1923.903226,1.661666667,1.19,51.7,65526290.42
"29",1924,1.522903226,3.21,58.8,71207241.67
"30",1923.566667,1.252333333,1.73,76.9,560590725
"31",1919.40625,1.183225806,0.86,80.2,4202442708
"32",1917.83871,0.987916667,2.78,74.8,1999178304
"33",1918,3.240666667,2.61,66.5,365496704.2
"34",1918,3.409032258,2.43,45.9,7679852.458
"35",1918.866667,3.348666667,0.09,39.1,5634571.917
"36",1919,3.622258065,0.02,33,5381064.208
"37",1919,3.806129032,0.63,25.3,5300682.083
"38",1919,3.939642857,1.32,25.8,4795436.917
"39",1919,3.793,0.57,41.3,5618670.083
"40",1919.096774,3.64,3.36,51.9,95889271.67
"41",1920,3.739677419,4.06,58.7,20973958.5
"42",1920,3.382666667,3.57,68.4,147004084.6
"43",1918.258065,2.701612903,0.22,77.9,1868570354
