"","W63","G42","KY_P","KY_T","Pumping"
"1",2282.330313,4.795927505,0.53,28.4,5292734.208
"2",2282.340345,6.24773495,1.79,33.4,4789253.208
"3",2282.334063,5.337178845,2.19,41.6,5612045.333
"4",2282.340968,4.992115397,1.12,48.6,90082912.5
"5",2282.122581,3.978221381,2.68,62.2,150906056.3
"6",2281.594516,3.513386667,3.63,68.4,623481137.5
"7",2280.710313,4.068750471,3.34,74.9,1895572750
"8",2279.094516,3.364792285,0.93,76.8,3394302292
"9",2279.100667,3.719248554,1.21,65.4,527624533.3
"10",2279.224688,3.993558746,2.23,53.5,7659093.083
"11",2279.386667,3.611676073,1.59,27.8,5620878.333
"12",2279.609231,4.16149278,0.32,17.5,5363839.25
"13",2279.842414,5.495773088,1.02,26.7,5300682.083
"14",2280.037586,6.050179854,1.03,21.8,4796760.042
"15",2280.803871,4.690222633,0.86,34,5620881.375
"16",2281.234516,5.165360658,3.55,52.3,15669742
"17",2282.042188,3.673333333,4.18,61.4,49627316.25
"18",2282.442581,3.755333333,0.84,69.6,436543650
"19",2280.254063,3.982580645,4.62,78,2266257625
"20",2279.219375,4.110322581,3.16,73.5,2375220771
"21",2279.275161,4.171333333,4.36,63.5,525805920.8
"22",2279.720625,4.089354839,1.15,51.1,7671901.542
"23",2279.852333,3.775333333,1.5,45.1,5627947.167
"24",2279.994375,4.270645161,0.24,31.3,5372231.208
"25",2280.130938,4.080322581,0.21,30.3,5310400.208
"26",2280.183793,4.083214286,0.38,30.3,4803384.792
"27",2280.281563,4.377419355,0.57,30.9,5628388.208
"28",2280.268387,3.773,1.23,49.7,65526290.42
"29",2280.154516,3.316451613,3.39,56.7,71207241.67
"30",2279.716667,3.317,1.19,75.8,560590725
"31",2276.79875,3.699677419,0.43,78.2,4202442708
"32",2275.906129,3.148064516,1.66,73.8,1999178304
"33",2276.461667,3.741,0.8,64.7,365496704.2
"34",2276.693438,3.654193548,2.36,45.8,7679852.458
"35",2276.938,3.554333333,0.11,38.6,5634571.917
"36",2277.079677,3.797916667,0.03,32.1,5381064.208
"37",2277.197188,3.982142857,0.29,26.1,5300682.083
"38",2277.314643,3.7975,0.7,25.5,4795436.917
"39",2277.378065,3.738064516,0.35,37.8,5618670.083
"40",2277.445161,3.608333333,4.02,51.2,95889271.67
"41",2277.687419,3.541290323,4.58,57.8,20973958.5
"42",2278.173226,3.317333333,3.28,67.7,147004084.6
"43",2276.833226,3.122580645,0.33,76.6,1868570354
"44",2275.340645,3.013225806,0.57,75.9,3658781292
"45",2274.921667,3.153,2.2,61.5,1376098058
"46",2275.115,3.156774194,1.73,54.9,7670134.333
"47",2275.350333,3.248333333,0.56,35.6,5626179.958
"48",2275.59871,3.595769231,0.1,31.2,5371790.167
"49",2275.749688,3.671290323,0.55,21.8,5314375.667
"50",2275.89,4.323448276,0.6,23.3,4808245.375
"51",2276.015484,3.710322581,2.68,42.9,5632804.708
"52",2276.088387,3.409333333,1.54,50.4,79183434.58
"53",2276.116774,3.07516129,3.07,61.6,82419402.92
"54",2275.683226,2.974666667,2.32,67,51058268.33
"55",2275.075313,3.215483871,4.82,71.6,439520833.3
"56",2273.903226,3.093225806,0.67,69,2715407767
"57",2273.4175,3.093666667,4.75,67.7,2052496288
"58",2273.9,3.516774194,1.26,53,7689567.542
"59",2274.28,3.741,2.59,39.6,5639870.5
"60",2274.47,3.799642857,0.02,30.1,5385039.667
"61",2274.676154,4.360740741,0.55,22.2,5323649.708
"62",2274.775,3.834285714,0.63,33.6,4816193.25
"63",2274.926667,3.786774194,2.05,38.8,5640311.542
"64",2275.05129,3.952333333,1.03,49.5,13727364.08
"65",2275.244848,3.513548387,3.61,59.4,94940606.25
"66",2275.635,4.344666667,6.21,71.3,135445660
"67",2274.992727,2.92516129,0.84,76.2,2927656788
"68",2274.023333,3.035806452,3.74,73.4,2582126496
"69",2274.179375,3.073666667,0.23,68.8,337217112.5
"70",2274.433636,3.563225806,2.47,54,7708559.708
"71",2274.704063,3.643333333,1.1,41.2,5654446.167
"72",2274.926364,3.72125,0.32,25.6,5396080.917
"73",2275.108788,3.863870968,0.29,37.6,5328066.208
"74",2275.264333,3.619411765,0.04,29.4,4822376.958
"75",2275.36303,3.965,2.77,36.3,5797982.417
"76",2275.473871,3.624615385,1.36,53.8,21045504.58
"77",2275.353125,2.865416667,1.46,62.1,213995758.8
"78",2275.019032,2.799333333,5.24,72.2,317939941.7
"79",2274.194688,2.781612903,2.68,76.1,3572248917
"80",2273.336875,2.904193548,8.18,72,1006591829
"81",2273.486129,3.083,4.56,59.5,63229710.42
"82",2273.853438,3.681935484,1.62,47.8,8359993.458
"83",2274.051,3.677,0.62,36.9,5888520.667
"84",2274.244063,3.703870968,2.85,29.9,5404469.833
"85",2274.421875,3.714,0.42,20.5,7145011.875
"86",2274.498333,4.554615385,0.37,22.3,6424240.292
"87",2274.994286,4.471935484,2.75,44.8,7554864.292
"88",2275.152903,4.43037037,5.44,45.9,8568010
"89",2275.382813,3.867727273,4.82,62.9,32222352.08
"90",2275.716129,4.622857143,1.69,69.9,293422982.9
"91",2275.221875,4.216774194,4.2,76.6,2793811288
"92",2275.122813,3.884482759,3.74,76.6,831262254.2
"93",2275.225484,3.22,2.1,65.6,120711340
"94",2275.5175,3.768,3.54,54.6,10334610
"95",2275.864839,3.930344828,0.01,40.6,7679411.417
"96",2276.220313,4.191290323,1.27,21.8,7188738.875
"97",2276.462188,4.422903226,0.04,20.9,7151195.583
"98",2276.691667,4.45137931,0.14,26.7,6428215.75
"99",2276.85625,4.408709677,0.85,37.8,7560162.875
"100",2276.969375,4.512,3.41,44.4,9722483.708
"101",2277.129063,5.006451613,8.74,56.8,61378308.75
"102",2278.843548,4.429333333,7.23,69.7,94044075
"103",2278.778148,4.321290323,3.68,75.6,2165691608
"104",2278.425625,4.006129032,0.8,71.3,2800777921
"105",2278.36129,3.676666667,1.38,63.8,704353579.2
"106",2278.901875,4.622903226,9.36,50.8,75101700.42
"107",2279.771935,4.705666667,0.5,39.3,7686036.167
"108",2280.259375,4.531290323,0.35,21.9,7196686.75
"109",2280.688438,4.792258065,0.07,26.3,7156497.208
"110",2280.925,4.598928571,0.3,31.3,6434840.5
"111",2280.99,4.343225806,0.02,36.5,7567672.75
"112",2281.142,5.149,2.39,48,28048750.46
"113",2281.140313,4.022258065,2.66,60.2,90339507.5
"114",2281.21129,4.803333333,4.96,68.2,97948692.92
"115",2281.265,4.191935484,1.04,71.3,1794033096
"116",2277.538667,3.79516129,2.79,70.9,694313950
"117",2277.473871,4.279666667,2.07,62.3,1719246725
"118",2278.560606,4.972580645,4.53,43.4,81963183.33
"119",2279.466774,5.571,0.13,42.6,7693101.958
"120",2280.060625,6.402,0.08,19.1,7203311.5
"121",2280.2775,6.501363636,0.03,21.7,7164889.167
"122",2280.442414,5.045185185,0.67,24.3,6438371.875
"123",2280.817188,5.308666667,1.84,40.1,7574297.5
"124",2281.209032,5.146666667,3.22,53.2,35842117.92
"125",2281.580313,5.692580645,3.36,57.4,62342882.08
"126",2282.5056,6.657692308,5.28,70.8,127500826.7
"127",2283.911739,5.514545455,4.61,75.2,485411370.8
"128",2282.653438,5.319354839,3.47,75.6,3064518708
