"","W63","G42","KY_P","KY_T","Pumping"
"129",2282.209677,5.763666667,1.02,64.8,366319170.8
"130",2281.9875,5.750645161,0.34,54.9,15625135.96
"131",2281.702903,5.926666667,0.93,37.4,7698841.583
"132",2281.5825,5.807741935,0.14,25,7210377.292
"133",2281.491333,5.607096774,0.86,19.1,7418393.833
"134",2281.4312,5.880357143,0.12,25.9,6696296.083
"135",2281.383871,6.405806452,0.9,37,7864460.333
"136",2281.357419,6.568,3.45,49,30587790.83
"137",2281.2525,6.680322581,7.53,58.2,39384138.75
"138",2281.900968,7.610333333,4.51,70.3,50718210
"139",2282.797813,6.966296296,4.07,78.6,813094987.5
"140",2281.528438,6.368709677,3.72,74,1729015950
"141",2281.062258,6.560666667,0.65,60.4,586203383.3
"142",2281.355625,6.348709677,4.92,53.3,15210426
"143",2281.795161,5.949333333,0.33,38.1,8074244.083
"144",2281.983548,5.917741935,0.39,28.2,7496126.667
"145",2282.070313,6.00516129,0.03,30.9,7425903.708
"146",2282.116207,6.056896552,1.04,29,6700712.583
"147",2282.253548,5.608387097,1.02,51,25205850.63
"148",2282.305484,5.437333333,4.35,54.3,50786647.5
"149",2282.077742,4.554516129,2,64.5,79245697.5
"150",2281.361333,4.084827586,1.62,73.3,636354991.7
"151",2278.105313,3.790344828,0.58,80,6151971583
"152",2276.397143,4.248064516,1.45,72.6,4176223542
"153",2276.3304465,4.506333333,0.54,64.4,98217667.5
"154",2276.26375,4.256451613,0.58,48.3,10858406.29
"155",2276.5225,4.486,0.595,39.8,8080868.833
"156",2276.78125,4.708064516,0.61,27.1,7504515.583
"157",2277.04,4.98137931,0.14,24.5,NA
"158",2277.074286,4.913214286,0.74,29.1,NA
"159",2277.138065,4.839677419,0.62,34.5,NA
"160",2277.202903,5.487666667,4.37,44.2,NA
"161",2277.226452,4.388064516,6.54,59.7,NA
"162",2277.193,3.994333333,1.44,70.6,NA
"163",2275.55125,3.846129032,1.98,73.8,NA
"164",2274.872581,3.95,2.19,74.6,NA
"165",2274.110333,4.896333333,3.77,69.4,NA
"166",2274.24875,5.930967742,3.73,51.3,NA
"167",2274.499,4.686666667,0.72,36.4,NA
"168",2274.749355,4.852758621,0.1,24,NA
"169",2274.97875,5.085357143,0.28,25.1,NA
"170",2275.174643,5.198148148,0.36,21.6,NA
"171",2275.334516,5.094347826,0.11,34.4,NA
"172",2275.492581,5.251666667,3.35,48.8,NA
"173",2275.495806,4.432903226,0.71,59.8,NA
"174",2275.457333,6.322666667,8.53,70.9,NA
"175",2275.065,4.427741935,0.17,71.8,NA
"176",2273.757419,4.337419355,7.6,73.2,NA
"177",2273.92,4.297333333,2.4,62.8,NA
"178",2274.256563,4.590967742,0.99,53.4,NA
"179",2274.583667,4.504333333,0.06,33.4,NA
"180",2274.87,5.473,0.69,28,NA
"181",2275.108387,6.59826087,0.05,27.6,NA
"182",2275.305862,5.656428571,0.49,25.1,NA
"183",2275.473226,5.317741935,0.07,41.8,NA
"184",2275.583667,5.404333333,3.14,50.8,NA
"185",2275.715161,6.733793103,2.85,58.1,NA
"186",2275.988065,7.970833333,7.08,69.9,NA
"187",2274.93129,5.323333333,2.36,74.5,NA
"188",2274.13871,4.91483871,2.47,71.2,NA
"189",2273.937333,5.080666667,2.27,70.5,NA
"190",2274.275,5.421290323,0.97,55,NA
"191",2274.584333,5.64,3.25,41.9,NA
"192",2274.868065,5.578,1.05,32,NA
"193",2275.132258,5.742083333,0.4,27.5,NA
"194",2275.374333,5.908275862,0.98,34.9,NA
"195",2275.738387,5.581935484,0.56,43.4,NA
"196",2275.959355,5.766551724,8.39,51.4,NA
"197",2276.576129,6.837931034,2.3,58.1,NA
"198",2277.547419,6.705666667,0.61,74.6,NA
"199",2276.962581,5.018064516,3.38,74.9,NA
"200",2275.540625,4.883225806,1.47,73,NA
"201",2275.280667,5.283666667,1.2,66.2,NA
"202",2275.726875,5.218387097,0.12,55.8,NA
"203",2276.065667,5.344666667,1.56,46,NA
"204",2276.385484,5.124615385,0.9,26.3,NA
"205",2276.710968,5.185714286,0.9,28.2,NA
"206",2276.95,5.436666667,0.3,37.1,NA
"207",2277.088065,5.543225806,1.63,41.6,NA
"208",2277.200667,5.129333333,1.87,50.7,NA
"209",2277.293548,5.371612903,6.03,58,NA
"210",2276.887742,5.151666667,1.93,73.1,NA
"211",2275.48,4.448709677,3.66,76.5,NA
"212",2275.213871,4.630967742,3.65,69.1,NA
"213",2275.311,4.577666667,2.19,66.6,NA
"214",2275.714688,4.585483871,2.83,53,NA
"215",2276.188667,4.605,0.34,39.6,NA
"216",2276.686129,4.744230769,0.21,27.1,NA
"217",2277.094688,6.012758621,0.96,21.6,NA
"218",2277.389286,7.5185,0.73,21.7,NA
"219",2277.657419,5.065333333,1.05,39,NA
"220",2277.859333,5.256333333,2.03,41.2,NA
"221",2278.044516,5.067741935,5.56,64.3,NA
"222",2278.630645,4.717,2.87,74.7,NA
"223",2278.972258,4.408709677,6.07,73.8,NA
"224",2278.80129,4.156451613,2.05,71.1,NA
"225",2279.385333,4.686666667,1.85,66.7,NA
"226",2279.891875,4.424516129,3.5,47.3,NA
"227",2280.268333,4.97,0.85,33.9,NA
"228",2280.691333,4.928709677,3.49,27.9,NA
