"","F1.W74","F1.G42","F1.GO_P","F1.GO_T","F1.Pumping"
"1",0.42863081259549,0.437416682266406,-0.685629824289439,-1.41805726319587,-0.858921574728556
"2",0.431135257692374,0.47492762425756,-0.378221395347113,-1.16518460904437,-0.822260728075931
"3",0.323267683883435,0.379996129358952,0.0383529137904005,-0.600370461008416,-0.567117145953401
"4",0.133310181586917,0.189113636736907,0.442948567239693,0.127222754626727,-0.161441766014537
"5",-0.088144226269997,-0.0435731573332225,0.732336083699827,0.823932640826962,0.287608021418368
"6",-0.28776712498893,-0.261372052307055,0.835307137312721,1.30987201361275,0.663777370002095
"7",-0.409525149543383,-0.407677927121278,0.718067475847615,1.45575712270382,0.867364536251049
"8",-0.426056685446541,-0.450375643022012,0.409299730697849,1.22269329561361,0.845552422544139
"9",-0.333595206214765,-0.378905678948485,-0.00307737097749863,0.672107472749672,0.599333483797633
"10",-0.157451577111053,-0.213307994090387,-0.414108637802115,-0.048838708748955,0.203925772053984
"11",0.056222510881284,0.00298291744509214,-0.716179672611438,-0.750551976966481,-0.239076922385947
"12",0.25051161887286,0.213161478090682,-0.828329006471719,-1.24316635802581,-0.613003612741559
"13",0.373200867489509,0.360636199300259,-0.716861182493769,-1.39871845113347,-0.819900806871516
"14",0.392162677508383,0.403808109511199,-0.412051217698163,-1.17768161120193,-0.805949074917488
"15",0.302788048231641,0.329611323404975,0.00528512092336947,-0.639021920045433,-0.575840091673527
"16",0.129687614189421,0.162159646360277,0.424602223839804,0.0729973315475142,-0.191498428498253
"17",-0.0811579661750584,-0.052263366308817,0.730721233777347,0.767350032587772,0.244533170040611
"18",-0.272042211590194,-0.252901351444821,0.843928688099142,1.2589199789998,0.616557417534762
"19",-0.391005286968826,-0.386240204085237,0.736822688235833,1.41873482936361,0.826607145899231
"20",-0.409906129124261,-0.419566834600818,0.433156646498799,1.20402235427888,0.818060307066417
"21",-0.324681221745909,-0.345659250785754,0.011302845287982,0.671710313757741,0.595325268349045
"22",-0.158301425134138,-0.185501908958359,-0.416299668313241,-0.0349314808773309,0.217852302368854
"23",0.0458059926764254,0.0173916709114827,-0.736924756760514,-0.728483082377236,-0.214046765853035
"24",0.234380139543916,0.209117312358905,-0.86461676849348,-1.22526476526411,-0.586250766431256
"25",0.358545789184981,0.338290994704365,-0.763004414248867,-1.39283029678828,-0.800414881974559
"26",0.386715527390293,0.371275337567928,-0.457377645146071,-1.18731419288074,-0.800361553099548
"27",0.312077453312216,0.300397642394308,-0.0276939134591743,-0.663224800183134,-0.586441432936452
"28",0.154903011634383,0.145416981992737,0.412420407067568,0.0405051602409387,-0.215835969120269
"29",-0.0437636147615344,-0.0512864888263509,0.744878081640434,0.735134702876377,0.212445525979078
"30",-0.232542847221278,-0.237055224585223,0.881628991803619,1.23514575793495,0.584542888124703
"31",-0.363438800032409,-0.362806650751575,0.783139993108487,1.40666964402535,0.801363532718738
"32",-0.404950606015322,-0.396765160156162,0.475837886805727,1.20353524909068,0.803810524822443
"33",-0.347068836109302,-0.331059016737347,0.0399165272076624,0.68003550907054,0.593964220579421
"34",-0.205428697496327,-0.184390768400145,-0.407501099498358,-0.0232353894786064,0.229259535721487
"35",-0.0165392803553486,0.00382865761235548,-0.746698604660319,-0.717669962993724,-0.192820200694748
"36",0.171676044316851,0.183867339691841,-0.887938866245852,-1.21857689836356,-0.560292268721779
"37",0.312536124473236,0.308751086454468,-0.793167446429615,-1.39281611764249,-0.776223272732427
"38",0.371361029161094,0.346505471617046,-0.487274914662462,-1.19377618481211,-0.784140501278089
"39",0.33390540188472,0.288466516799655,-0.0512758229170614,-0.67507019143659,-0.583076647316504
"40",0.210261356725372,0.150907598988059,0.398937409485231,0.0245019638243332,-0.227524817572635
"41",0.0323300420924894,-0.029104052415955,0.743285578081952,0.717519125096341,0.187443819959983
"42",-0.154335621147559,-0.20390839813131,0.88946028525436,1.21853139726827,0.551334298728209
"43",-0.30156205931046,-0.327336807044207,0.798503526533642,1.39390071367517,0.767959248986511
"44",-0.371759199651317,-0.366936218756543,0.495757642213369,1.19682669048554,0.781234892848213
"45",-0.346966791224215,-0.312243078249656,0.0620321151102864,0.679673411415054,0.585544952931915
"46",-0.234016350538742,-0.178418333746479,-0.387406912185744,-0.0181549596626111,0.23296308852669
"47",-0.0624795403425365,-0.00172374462083498,-0.7327761422364,-0.709724973090562,-0.181085392579817
"48",0.123187898453055,0.170731434343992,-0.882975921693159,-1.20991146910064,-0.545684378115162
"49",0.274988161066066,0.293153231715828,-0.79797982891789,-1.38530862741576,-0.76321970340543
"50",0.353900080042214,0.333435304746248,-0.500977649907077,-1.18954425721037,-0.776094781992667
"51",0.339843311110943,0.281189299888917,-0.0714549327598618,-0.675581017407133,-0.582342931681007
"52",0.236840064752137,0.151212603360181,0.376242836484155,0.0183673810648195,-0.234013361759315
"53",0.0722240984500507,-0.021036558898282,0.723471661694055,0.706311565640269,0.175855265748548
"54",-0.111200353003074,-0.189734157491619,0.877679764326415,1.20467833674633,0.538117277577082
"55",-0.265763276941286,-0.310251535618713,0.79696192168112,1.38075280954805,0.756184969070749
"56",-0.351133118163859,-0.350819087195728,0.503288969904057,1.18769519406555,0.772100832118333
"57",-0.345016072704876,-0.300633106456478,0.0761253534054079,0.676949348735699,0.581479513993088
"58",-0.248700651461938,-0.172951409422004,-0.37219740238725,-0.0148867217931825,0.235169686749742
"59",-0.0877771354308023,-0.0020545775752164,-0.721582931655442,-0.702313337731063,-0.174071249678535
"60",0.0948826183660657,0.165830604942472,-0.878825773776591,-1.20146793076336,-0.536830784372457
"61",0.251277556605399,0.285963381663857,-0.801641806587783,-1.37887925565979,-0.75636429490224
"62",0.3404650020588,0.326370394838721,-0.510039676384204,-1.18681023278708,-0.773952810505772
"63",0.339479293386374,0.27688059225498,-0.0817011133554621,-0.677294690182923,-0.585087089341659
"64",0.249206110945274,0.151265545929711,0.368539463115989,0.013074774778992,-0.240727638071975
"65",0.0939397255757468,-0.0164617703413842,0.721240242527543,0.699549506999389,0.166820239615429
"66",-0.0850284755461745,-0.18136164116219,0.881456242486706,1.19859406580824,0.528681265878489
"67",-0.240331707199932,-0.299336275719229,0.807220959935972,1.37724673513384,0.748656102526858
"68",-0.331613354450889,-0.339117348273317,0.517134352823928,1.18749162805823,0.767520888281734
"69",-0.335437900618835,-0.290540956136913,0.0889341947241997,0.680601470334988,0.580776000154227
"70",-0.251230324633184,-0.166936613930028,-0.36311150981604,-0.0078694778789805,0.238767777469866
"71",-0.101492234133932,-0.00155124775596148,-0.718650862719472,-0.693781226402561,-0.167306210690476
