"","W60","G42","KY_P","KY_T","Pumping"
"1",2200.451613,4.795927505,0.53,28.4,5292734.208
"2",2200.376667,6.24773495,1.79,33.4,4789253.208
"3",2200.2375,5.337178845,2.19,41.6,5612045.333
"4",2200.11,4.992115397,1.12,48.6,90082912.5
"5",2199.7625,3.978221381,2.68,62.2,150906056.3
"6",2199.551613,3.513386667,3.63,68.4,623481137.5
"7",2199.453125,4.068750471,3.34,74.9,1895572750
"8",2199.209375,3.364792285,0.93,76.8,3394302292
"9",2199.213333,3.719248554,1.21,65.4,527624533.3
"10",2199.20625,3.993558746,2.23,53.5,7659093.083
"11",2199.654839,3.611676073,1.59,27.8,5620878.333
"12",2200.096875,4.16149278,0.32,17.5,5363839.25
"13",2199.935484,5.495773088,1.02,26.7,5300682.083
"14",2200.337931,6.050179854,1.03,21.8,4796760.042
"15",2199.940625,4.690222633,0.86,34,5620881.375
"16",2199.833333,5.165360658,3.55,52.3,15669742
"17",2199.5375,3.673333333,4.18,61.4,49627316.25
"18",2198.932258,3.755333333,0.84,69.6,436543650
"19",2199.196875,3.982580645,4.62,78,2266257625
"20",2199.296774,4.110322581,3.16,73.5,2375220771
"21",2199.203226,4.171333333,4.36,63.5,525805920.8
"22",2199.090625,4.089354839,1.15,51.1,7671901.542
"23",2198.925806,3.775333333,1.5,45.1,5627947.167
"24",2199.664516,4.270645161,0.24,31.3,5372231.208
"25",2199.60625,4.080322581,0.21,30.3,5310400.208
"26",2199.665517,4.083214286,0.38,30.3,4803384.792
"27",2199.640625,4.377419355,0.57,30.9,5628388.208
"28",2199.035484,3.773,1.23,49.7,65526290.42
"29",2198.63125,3.316451613,3.39,56.7,71207241.67
"30",2198.636667,3.317,1.19,75.8,560590725
"31",2198.875,3.699677419,0.43,78.2,4202442708
"32",2198.309677,3.148064516,1.66,73.8,1999178304
"33",2198.551613,3.741,0.8,64.7,365496704.2
"34",2198.678125,3.654193548,2.36,45.8,7679852.458
"35",2198.886667,3.554333333,0.11,38.6,5634571.917
"36",2198.970968,3.797916667,0.03,32.1,5381064.208
"37",2199.007143,3.982142857,0.29,26.1,5300682.083
"38",2199.196552,3.7975,0.7,25.5,4795436.917
"39",2199.077419,3.738064516,0.35,37.8,5618670.083
"40",2199.135484,3.608333333,4.02,51.2,95889271.67
"41",2198.880645,3.541290323,4.58,57.8,20973958.5
"42",2198.390625,3.317333333,3.28,67.7,147004084.6
"43",2198.170968,3.122580645,0.33,76.6,1868570354
"44",2197.94375,3.013225806,0.57,75.9,3658781292
"45",2197.906452,3.153,2.2,61.5,1376098058
"46",2198.274194,3.156774194,1.73,54.9,7670134.333
"47",2198.722581,3.248333333,0.56,35.6,5626179.958
"48",2198.90625,3.595769231,0.1,31.2,5371790.167
"49",2199.009677,3.671290323,0.55,21.8,5314375.667
"50",2199.196552,4.323448276,0.6,23.3,4808245.375
"51",2199.129032,3.710322581,2.68,42.9,5632804.708
"52",2198.736667,3.409333333,1.54,50.4,79183434.58
"53",2198.477419,3.07516129,3.07,61.6,82419402.92
"54",2197.83,2.974666667,2.32,67,51058268.33
"55",2198.167742,3.215483871,4.82,71.6,439520833.3
"56",2197.825,3.093225806,0.67,69,2715407767
"57",2197.82,3.093666667,4.75,67.7,2052496288
"58",2198.690625,3.516774194,1.26,53,7689567.542
"59",2198.94,3.741,2.59,39.6,5639870.5
"60",2199.029032,3.799642857,0.02,30.1,5385039.667
"61",2199.177419,4.360740741,0.55,22.2,5323649.708
"62",2199.089286,3.834285714,0.63,33.6,4816193.25
"63",2199.025806,3.786774194,2.05,38.8,5640311.542
"64",2198.603333,3.952333333,1.03,49.5,13727364.08
"65",2198.235484,3.513548387,3.61,59.4,94940606.25
"66",2199.13871,4.344666667,6.21,71.3,135445660
"67",2197.545161,2.92516129,0.84,76.2,2927656788
"68",2197.354839,3.035806452,3.74,73.4,2582126496
"69",2197.273333,3.073666667,0.23,68.8,337217112.5
"70",2197.515625,3.563225806,2.47,54,7708559.708
"71",2198.009677,3.643333333,1.1,41.2,5654446.167
"72",2198.858065,3.72125,0.32,25.6,5396080.917
"73",2198.88125,3.863870968,0.29,37.6,5328066.208
"74",2198.763333,3.619411765,0.04,29.4,4822376.958
"75",2198.890625,3.965,2.77,36.3,5797982.417
"76",2198.346667,3.624615385,1.36,53.8,21045504.58
"77",2197.75,2.865416667,1.46,62.1,213995758.8
"78",2197.493548,2.799333333,5.24,72.2,317939941.7
"79",2197.364516,2.781612903,2.68,76.1,3572248917
"80",2197.971875,2.904193548,8.18,72,1006591829
"81",2197.648387,3.083,4.56,59.5,63229710.42
"82",2198.01875,3.681935484,1.62,47.8,8359993.458
"83",2197.922581,3.677,0.62,36.9,5888520.667
"84",2198.741935,3.703870968,2.85,29.9,5404469.833
"85",2199.140625,3.714,0.42,20.5,7145011.875
"86",2199.582759,4.554615385,0.37,22.3,6424240.292
"87",2199.33125,4.471935484,2.75,44.8,7554864.292
"88",2199.22,4.43037037,5.44,45.9,8568010
"89",2198.859375,3.867727273,4.82,62.9,32222352.08
"90",2199.229032,4.622857143,1.69,69.9,293422982.9
"91",2198.803704,4.216774194,4.2,76.6,2793811288
"92",2198.9,3.884482759,3.74,76.6,831262254.2
"93",2198.635484,3.22,2.1,65.6,120711340
"94",2198.370968,3.768,3.54,54.6,10334610
"95",2198.464516,3.930344828,0.01,40.6,7679411.417
"96",2198.590625,4.191290323,1.27,21.8,7188738.875
"97",2198.893548,4.422903226,0.04,20.9,7151195.583
"98",2199.173333,4.45137931,0.14,26.7,6428215.75
"99",2198.88125,4.408709677,0.85,37.8,7560162.875
"100",2199.016129,4.512,3.41,44.4,9722483.708
"101",2198.818182,5.006451613,8.74,56.8,61378308.75
"102",2198.506667,4.429333333,7.23,69.7,94044075
"103",2198.44375,4.321290323,3.68,75.6,2165691608
"104",2198.365625,4.006129032,0.8,71.3,2800777921
"105",2197.566667,3.676666667,1.38,63.8,704353579.2
"106",2198.4125,4.622903226,9.36,50.8,75101700.42
"107",2198.921875,4.705666667,0.5,39.3,7686036.167
"108",2198.641935,4.531290323,0.35,21.9,7196686.75
"109",2199.00625,4.792258065,0.07,26.3,7156497.208
"110",2198.858621,4.598928571,0.3,31.3,6434840.5
"111",2198.664516,4.343225806,0.02,36.5,7567672.75
"112",2199.103226,5.149,2.39,48,28048750.46
"113",2198.475,4.022258065,2.66,60.2,90339507.5
"114",2198.851613,4.803333333,4.96,68.2,97948692.92
"115",2198.467742,4.191935484,1.04,71.3,1794033096
"116",2197.99375,3.79516129,2.79,70.9,694313950
"117",2198.174194,4.279666667,2.07,62.3,1719246725
"118",2198.915625,4.972580645,4.53,43.4,81963183.33
"119",2199.66129,5.571,0.13,42.6,7693101.958
"120",2199.06,6.402,0.08,19.1,7203311.5
"121",2200,6.501363636,0.03,21.7,7164889.167
"122",2199.258621,5.045185185,0.67,24.3,6438371.875
"123",2199.684375,5.308666667,1.84,40.1,7574297.5
"124",2199.316667,5.146666667,3.22,53.2,35842117.92
"125",2199.715625,5.692580645,3.36,57.4,62342882.08
"126",2201.170968,6.657692308,5.28,70.8,127500826.7
"127",2199.7375,5.514545455,4.61,75.2,485411370.8
"128",2199.312903,5.319354839,3.47,75.6,3064518708
"129",2199.545161,5.763666667,1.02,64.8,366319170.8
"130",2199.63125,5.750645161,0.34,54.9,15625135.96
"131",2199.893548,5.926666667,0.93,37.4,7698841.583
"132",2199.8,5.807741935,0.14,25,7210377.292
"133",2200.621875,5.607096774,0.86,19.1,7418393.833
"134",2200.555172,5.880357143,0.12,25.9,6696296.083
"135",2200.425,6.405806452,0.9,37,7864460.333
"136",2200.633333,6.568,3.45,49,30587790.83
"137",2200.69375,6.680322581,7.53,58.2,39384138.75
"138",2202.046667,7.610333333,4.51,70.3,50718210
"139",2201.123333,6.966296296,4.07,78.6,813094987.5
"140",2200.403125,6.368709677,3.72,74,1729015950
"141",2200.536667,6.560666667,0.65,60.4,586203383.3
"142",2200.334375,6.348709677,4.92,53.3,15210426
"143",2199.832258,5.949333333,0.33,38.1,8074244.083
"144",2199.806452,5.917741935,0.39,28.2,7496126.667
"145",2199.796875,6.00516129,0.03,30.9,7425903.708
"146",2200,6.056896552,1.04,29,6700712.583
"147",2199.49375,5.608387097,1.02,51,25205850.63
"148",2199.353333,5.437333333,4.35,54.3,50786647.5
"149",2198.278125,4.554516129,2,64.5,79245697.5
"150",2197.767742,4.084827586,1.62,73.3,636354991.7
"151",2197.6,3.790344828,0.58,80,6151971583
"152",2197.98,4.248064516,1.45,72.6,4176223542
"153",2197.918182,4.506333333,0.54,64.4,98217667.5
"154",2197.6125,4.256451613,0.58,48.3,10858406.29
"155",2198.016129,4.486,0.595,39.8,8080868.833
"156",2198.284375,4.708064516,0.61,27.1,7504515.583
"157",2198.73125,4.98137931,0.14,24.5,NA
"158",2198.517857,4.913214286,0.74,29.1,NA
"159",2198.590625,4.839677419,0.62,34.5,NA
"160",2199.387097,5.487666667,4.37,44.2,NA
"161",2198.23125,4.388064516,6.54,59.7,NA
"162",2197.87,3.994333333,1.44,70.6,NA
"163",2197.55,3.846129032,1.98,73.8,NA
"164",2197.703125,3.95,2.19,74.6,NA
"165",2198.43871,4.896333333,3.77,69.4,NA
"166",2200.363636,5.930967742,3.73,51.3,NA
"167",2198.64,4.686666667,0.72,36.4,NA
"168",2198.675,4.852758621,0.1,24,NA
"169",2198.991667,5.085357143,0.28,25.1,NA
"170",2199.275862,5.198148148,0.36,21.6,NA
"171",2199.158065,5.094347826,0.11,34.4,NA
"172",2199.264516,5.251666667,3.35,48.8,NA
"173",2198.44375,4.432903226,0.71,59.8,NA
"174",2200.3,6.322666667,8.53,70.9,NA
"175",2198.209375,4.427741935,0.17,71.8,NA
"176",2198.258065,4.337419355,7.6,73.2,NA
"177",2198.003226,4.297333333,2.4,62.8,NA
"178",2198.854545,4.590967742,0.99,53.4,NA
"179",2198.863333,4.504333333,0.06,33.4,NA
"180",2199.535484,5.473,0.69,28,NA
"181",2200.277419,6.59826087,0.05,27.6,NA
"182",2199.748276,5.656428571,0.49,25.1,NA
"183",2199.354839,5.317741935,0.07,41.8,NA
"184",2199.641935,5.404333333,3.14,50.8,NA
"185",2200.967742,6.733793103,2.85,58.1,NA
"186",2202.525806,7.970833333,7.08,69.9,NA
"187",2199.316129,5.323333333,2.36,74.5,NA
