"","W60","G42","KY_P","KY_T","Pumping"
"188",2198.590323,4.91483871,2.47,71.2,NA
"189",2198.903333,5.080666667,2.27,70.5,NA
"190",2199.16875,5.421290323,0.97,55,NA
"191",2199.553333,5.64,3.25,41.9,NA
"192",2199.596774,5.578,1.05,32,NA
"193",2199.683871,5.742083333,0.4,27.5,NA
"194",2200.03,5.908275862,0.98,34.9,NA
"195",2199.683871,5.581935484,0.56,43.4,NA
"196",2199.906667,5.766551724,8.39,51.4,NA
"197",2201.145161,6.837931034,2.3,58.1,NA
"198",2201.122581,6.705666667,0.61,74.6,NA
"199",2199.022581,5.018064516,3.38,74.9,NA
"200",2198.9,4.883225806,1.47,73,NA
"201",2199.36129,5.283666667,1.2,66.2,NA
"202",2199.26875,5.218387097,0.12,55.8,NA
"203",2199.633333,5.344666667,1.56,46,NA
"204",2199.487097,5.124615385,0.9,26.3,NA
"205",2199.841935,5.185714286,0.9,28.2,NA
"206",2199.77931,5.436666667,0.3,37.1,NA
"207",2199.977419,5.543225806,1.63,41.6,NA
"208",2199.513333,5.129333333,1.87,50.7,NA
"209",2199.654839,5.371612903,6.03,58,NA
"210",2199.516129,5.151666667,1.93,73.1,NA
"211",2198.754839,4.448709677,3.66,76.5,NA
"212",2198.990323,4.630967742,3.65,69.1,NA
"213",2198.653333,4.577666667,2.19,66.6,NA
"214",2198.996875,4.585483871,2.83,53,NA
"215",2199.003333,4.605,0.34,39.6,NA
"216",2199.209677,4.744230769,0.21,27.1,NA
"217",2200.259375,6.012758621,0.96,21.6,NA
"218",2200.442857,7.5185,0.73,21.7,NA
"219",2199.570968,5.065333333,1.05,39,NA
"220",2199.69,5.256333333,2.03,41.2,NA
"221",2199.483871,5.067741935,5.56,64.3,NA
"222",2199.248387,4.717,2.87,74.7,NA
"223",2199.1,4.408709677,6.07,73.8,NA
"224",2198.941935,4.156451613,2.05,71.1,NA
"225",2199.286667,4.686666667,1.85,66.7,NA
"226",2199.10625,4.424516129,3.5,47.3,NA
"227",2199.623333,4.97,0.85,33.9,NA
"228",2199.533333,4.928709677,3.49,27.9,NA
