"","W80","G42","GO_P","GO_T","Pumping"
"1",2541,4.795927505,0.16,42.1,5292734.208
"2",2541,6.24773495,0.18,48.7,4789253.208
"3",2541,5.337178845,0.65,55.1,5612045.333
"4",2540.774194,4.992115397,1.15,65.4,90082912.5
"5",2540.548387,3.978221381,0.76,75.6,150906056.3
"6",2539.83871,3.513386667,1,83.3,623481137.5
"7",2541.125,4.068750471,2.5,88.5,1895572750
"8",2540.451613,3.364792285,0.1,91.5,3394302292
"9",2539.166667,3.719248554,0.75,80.3,527624533.3
"10",2539.34375,3.993558746,2,65.6,7659093.083
"11",2541.033333,3.611676073,0.95,37.1,5620878.333
"12",2541,4.16149278,0.01,30.4,5363839.25
"13",2541,5.495773088,0.16,39.9,5300682.083
"14",2541,6.050179854,0.32,32.8,4796760.042
"15",2541.516129,4.690222633,0.18,47.4,5620881.375
"16",2541.483871,5.165360658,1.93,65,15669742
"17",2541.03125,3.673333333,1,71.7,49627316.25
"18",2540.419355,3.755333333,0.8,82.7,436543650
"19",2540.90625,3.982580645,0.66,91.6,2266257625
"20",2541,4.110322581,1.2,87.2,2375220771
"21",2540.064516,4.171333333,0.59,76.4,525805920.8
"22",2540,4.089354839,0.68,66,7671901.542
"23",2540,3.775333333,0.58,55.6,5627947.167
"24",2540.65625,4.270645161,0.14,42.5,5372231.208
"25",2540.741935,4.080322581,0.27,43.2,5310400.208
"26",2541,4.083214286,0.265,49,4803384.792
"27",2541,4.377419355,0.26,45.8,5628388.208
"28",2540.580645,3.773,1.2,66.7,65526290.42
"29",2540.16129,3.316451613,0.57,70.3,71207241.67
"30",2539.3,3.317,1.8,89,560590725
"31",2540.73913,3.699677419,0.34,93.1,4202442708
"32",2540.473684,3.148064516,1.7,86.8,1999178304
"33",2539.5,3.741,0.28,78.5,365496704.2
"34",2539.15625,3.654193548,0.62,53.5,7679852.458
"35",2540,3.554333333,0.05,51.3,5634571.917
"36",2540,3.797916667,0.06,46,5381064.208
"37",2540,3.982142857,0.07,41.5,5300682.083
"38",2540,3.7975,0.25,37.1,4795436.917
"39",2540.064516,3.738064516,0.3,56.4,5618670.083
"40",2540.548387,3.608333333,1.47,63.2,95889271.67
"41",2541.16129,3.541290323,1.62,70.7,20973958.5
"42",2540.818182,3.317333333,1.6,79.1,147004084.6
"43",2539.363636,3.122580645,0.42,90.8,1868570354
"44",2539.032258,3.013225806,1.3,88.8,3658781292
"45",2539,3.153,0.53,75.8,1376098058
"46",2539,3.156774194,0.15,70.2,7670134.333
"47",2539,3.248333333,0.68,48.1,5626179.958
"48",2539.75,3.595769231,0.01,42,5371790.167
"49",2540,3.671290323,0.14,36.1,5314375.667
"50",2540,4.323448276,1.04,38.9,4808245.375
"51",2540,3.710322581,0.21,58.1,5632804.708
"52",2540.032258,3.409333333,0.76,65.7,79183434.58
"53",2540,3.07516129,0.54,76,82419402.92
"54",2539.566667,2.974666667,1.3,78.3,51058268.33
"55",2539.59375,3.215483871,1.07,85.1,439520833.3
"56",2539.096774,3.093225806,0.65,81.8,2715407767
"57",2539.266667,3.093666667,1.92,81,2052496288
"58",2540,3.516774194,0.47,64.6,7689567.542
"59",2540,3.741,0.87,49.7,5639870.5
"60",2540,3.799642857,0.505,44.3,5385039.667
"61",2540,4.360740741,0.14,34.2,5323649.708
"62",2540,3.834285714,0.27,49.2,4816193.25
"63",2540.30303,3.786774194,1.7,55.6,5640311.542
"64",2541,3.952333333,0.86,63.8,13727364.08
"65",2540.424242,3.513548387,1.78,73.7,94940606.25
"66",2541.285714,4.344666667,1.72,83.9,135445660
"67",2539.15,2.92516129,1.35,92,2927656788
"68",2539.181818,3.035806452,1.11,87.5,2582126496
"69",2539,3.073666667,0.05,84,337217112.5
"70",2539,3.563225806,0.83,66.1,7708559.708
"71",2539.3125,3.643333333,0.46,56.9,5654446.167
"72",2540,3.72125,0.13,37.6,5396080.917
"73",2540,3.863870968,0.05,53.4,5328066.208
"74",2540,3.619411765,0.01,44.3,4822376.958
"75",2540,3.965,0.61,50.2,5797982.417
"76",2540.37037,3.624615385,0.88,71.1,21045504.58
"77",2539.5,2.865416667,0.46,79,213995758.8
"78",2539,2.799333333,1.12,88.9,317939941.7
"79",2539,2.781612903,1.37,92.8,3572248917
"80",2539,2.904193548,1,85.9,1006591829
"81",2539,3.083,0.8,73.1,63229710.42
"82",2539,3.681935484,0.57,62.2,8359993.458
"83",2539,3.677,0.08,51,5888520.667
"84",2539.71875,3.703870968,1.21,42.9,5404469.833
"85",2540,3.714,0.58,30.8,7145011.875
"86",2540.344828,4.554615385,0.95,40.9666666666667,6424240.292
"87",2541,4.471935484,0.6,51.1333333333333,7554864.292
"88",2541.16129,4.43037037,1.35,61.3,8568010
"89",2541.09375,3.867727273,3.58,75.4,32222352.08
"90",2541.16129,4.622857143,1.15,82.3,293422982.9
"91",2540.375,4.216774194,1.9,88.8,2793811288
"92",2539.84375,3.884482759,0.65,89.8,831262254.2
"93",2539.322581,3.22,1.32,79.2,120711340
"94",2539.5625,3.768,0.71,67.9,10334610
"95",2540,3.930344828,0.01,56.2,7679411.417
"96",2540,4.191290323,0.23,34.3,7188738.875
"97",2540,4.422903226,0.01,36.9,7151195.583
"98",2540,4.45137931,0.27,43.8,6428215.75
"99",2540,4.408709677,0.5,53.2,7560162.875
"100",2540.967742,4.512,1.51,59.2,9722483.708
"101",2541.4375,5.006451613,5.33,70.7,61378308.75
"102",2541.258065,4.429333333,3.25,81,94044075
"103",2540.96875,4.321290323,1.7,87.5,2165691608
"104",2540.15625,4.006129032,1.47,81.7,2800777921
"105",2540,3.676666667,0.38,76.1,704353579.2
"106",2540.28125,4.622903226,1.75,63.8,75101700.42
"107",2541,4.705666667,0.26,51.6,7686036.167
"108",2541,4.531290323,0.15,36.4,7196686.75
"109",2541,4.792258065,0.1,43.4,7156497.208
"110",2541,4.598928571,0.59,45.6,6434840.5
"111",2541,4.343225806,0.18,53.9,7567672.75
"112",2541.032258,5.149,0.95,61.8,28048750.46
"113",2541.03125,4.022258065,1.5,73.6,90339507.5
"114",2541,4.803333333,1,79.3,97948692.92
"115",2540.875,4.191935484,1.9,83,1794033096
"116",2540.9375,3.79516129,1.35,82.7,694313950
"117",2540.516129,4.279666667,0.65,73.4,1719246725
"118",2541.21875,4.972580645,1.65,52.8,81963183.33
"119",2541.419355,5.571,0.03,55.8,7693101.958
"120",2541,6.402,0.42,29.2,7203311.5
"121",2541.28125,6.501363636,0.06,34.7,7164889.167
"122",2541,5.045185185,0.17,35.4,6438371.875
"123",2541.6875,5.308666667,0.75,52.5,7574297.5
"124",2541.322581,5.146666667,0.75,65.4,35842117.92
"125",2541.035714,5.692580645,1.23,69.5,62342882.08
"126",2541.580645,6.657692308,3.54,82.3,127500826.7
"127",2541.40625,5.514545455,1.58,86.6,485411370.8
"128",2540.875,5.319354839,1.82,87.5,3064518708
"129",2540,5.763666667,1.48,80,366319170.8
"130",2540,5.750645161,0.97,68.2,15625135.96
"131",2540.387097,5.926666667,0.4,50.1,7698841.583
"132",2541,5.807741935,0.29,41,7210377.292
"133",2541,5.607096774,0.52,34.1,7418393.833
"134",2541,5.880357143,0.36,41,6696296.083
"135",2541.677419,6.405806452,0.28,50.4,7864460.333
"136",2541.806452,6.568,0.67,63.2,30587790.83
"137",2541.4375,6.680322581,1.75,70.1,39384138.75
"138",2541.387097,7.610333333,0.68,82.4,50718210
"139",2541.25,6.966296296,0.9,89.5,813094987.5
"140",2540.75,6.368709677,1,86.1,1729015950
"141",2540.483871,6.560666667,0.58,75.7,586203383.3
"142",2540.84375,6.348709677,1.7,69.5,15210426
"143",2541,5.949333333,0.05,55.1,8074244.083
"144",2541,5.917741935,0.32,43.4,7496126.667
"145",2541,6.00516129,0.03,47.9,7425903.708
"146",2541,6.056896552,0.4,44.2,6700712.583
"147",2541,5.608387097,0.32,70,25205850.63
"148",2541,5.437333333,1.25,69.4,50786647.5
"149",2540.322581,4.554516129,0.7,80.2,79245697.5
