"","W73","G40","CDY_P","CDY_T","Pumping"
"1",2410.71,3.938064516,1.39,29.9,5292734.208
"2",2410.501724,3.95,1.39,35.9,4789253.208
"3",2410.326563,3.872580645,1.62,43.4,5612045.333
"4",2410.142258,3.892,1.73,49.8,90082912.5
"5",2410.179032,4.33,1.6,62.7,150906056.3
"6",2410.571935,4.515,1.95,69.3,623481137.5
"7",2410.28875,4.716129032,5.26,75.3,1895572750
"8",2411.189677,4.224516129,1.03,76.5,3394302292
"9",2411.792667,3.505862069,1.66,65.1,527624533.3
"10",2410.984063,3.51120689658333,2.1,53.2,7659093.083
"11",2410.690333,3.51655172416667,1.09,29,5620878.333
"12",2410.46871,3.52189655175,0.02,20.7,5363839.25
"13",2410.278438,3.52724137933333,0.65,27.9,5300682.083
"14",2410.075,3.53258620691667,0.56,23.5,4796760.042
"15",2410.581563,3.5379310345,0.54,35.4,5620881.375
"16",2411.2864,3.54327586208333,3.14,51.4,15669742
"17",2412.489688,3.54862068966667,4.61,60.8,49627316.25
"18",2412.733871,3.55396551725,0.72,69.3,436543650
"19",2410.101563,3.55931034483333,3.51,77.9,2266257625
"20",2411.954375,3.56465517241667,3.55,74.1,2375220771
"21",2412.719355,3.57,2.35,64.3,525805920.8
"22",2411.763125,3.577419355,1.95,51.8,7671901.542
"23",2411.176333,3.597,0.85,44.7,5627947.167
"24",2410.804375,3.634516129,0,32.5,5372231.208
"25",2410.502813,3.752580645,0.27,31,5310400.208
"26",2410.185172,3.638571429,0.02,31.4,4803384.792
"27",2409.975625,3.556451613,0.55,31.7,5628388.208
"28",2409.764839,3.504333333,1.08,51.8,65526290.42
"29",2409.593548,3.641290323,1.66,56.8,71207241.67
"30",2409.384333,3.866,0.95,75.4,560590725
"31",2407.425758,3.000322581,0.15,78.7,4202442708
"32",2408.504516,2.756129032,4.58,73.7,1999178304
"33",2410.466667,2.194333333,0.12,65.7,365496704.2
"34",2409.813125,2.277741935,0.212,46.4,7679852.458
"35",2409.438,2.336666667,0.304,40.8,5634571.917
"36",2409.129032,2.451612903,0.396,35.1,5381064.208
"37",2408.819375,2.54483871,0.488,29.4,5300682.083
"38",2408.626429,3.043928571,0.58,27.6,4795436.917
"39",2408.493226,3.017096774,1.66,40.2,5618670.083
"40",2408.388065,3.059333333,4.36,52.6,95889271.67
"41",2409.094839,3.527419355,2.37,59,20973958.5
"42",2410.129032,3.937241379,5.72,68.1,147004084.6
"43",2408.612258,4.021612903,0.44,77,1868570354
"44",2408.494839,4.019310345,0.9,75.2,3658781292
"45",2409.302333,2.102105263,1.43,63.7,1376098058
"46",2408.879375,2.022258065,1.16,56.5,7670134.333
"47",2408.519333,2.044,0.88,37.2,5626179.958
"48",2408.240323,1.980967742,0.01,33,5371790.167
"49",2407.995,1.936774194,0.03,23.9,5314375.667
"50",2407.814138,1.944827586,0.87,25.8,4808245.375
"51",2407.914839,2.280967742,1.71,44.7,5632804.708
"52",2407.773548,2.116666667,0.77,49.8,79183434.58
"53",2407.495806,3.357419355,1.84,61.8,82419402.92
"54",2407.584,3.452758621,2.87,67.1,51058268.33
"55",2407.866316,4.276774194,6.19,72.1,439520833.3
"56",2409.353478,4.268387097,0.61,69,2715407767
"57",2410.003667,2.942,3.93,68,2052496288
"58",2410.009394,2.150645161,0.87,53.6,7689567.542
"59",2409.73375,2.380333333,2.06,40.4,5639870.5
"60",2409.679697,3.057096774,0,32.2,5385039.667
"61",2409.488788,3.103870968,0.155,22.6,5323649.708
"62",2409.288333,3.182142857,0.31,31.6,4816193.25
"63",2409.151818,3.124516129,2.62,40.6,5640311.542
"64",2409.468125,3.522666667,1.5,50.3,13727364.08
"65",2409.941818,4.631935484,2.84,59.8,94940606.25
"66",2411.729375,4.702,5.03,70.6,135445660
"67",2411.066061,4.1564,0.3,75.7,2927656788
"68",2411.255,4.696842105,5.27,72.9,2582126496
"69",2410.598462,3.201,1.27,69.2,337217112.5
"70",2409.897576,2.531612903,1.39,52.3,7708559.708
"71",2409.3575,2.476333333,0.4,41.9,5654446.167
"72",2409.03,2.826774194,0.04,25.9,5396080.917
"73",2408.839697,3.141935484,0,38.8,5328066.208
"74",2408.654333,3.457857143,0.14,28.4,4822376.958
"75",2408.5,3.498709677,2.07,39,5797982.417
"76",2408.604194,4.082333333,1.05,54.3,21045504.58
"77",2408.050938,4.211290323,0.99,64.1,213995758.8
"78",2407.779032,4.246666667,3.6,73.6,317939941.7
"79",2407.186875,4.533666667,1.43,77,3572248917
"80",2409.957813,4.734137931,5.76,72.7,1006591829
"81",2410.838065,3.292857143,2.42,60.7,63229710.42
"82",2409.8025,2.638709677,1.83,48,8359993.458
"83",2409.337419,2.534333333,0.04,38.8,5888520.667
"84",2409.100625,3.589677419,3.32,31.5,5404469.833
"85",2408.889063,3.8675,0.68,20.9,7145011.875
"86",2409.158276,7.2525,1.63,23,6424240.292
"87",2410.28,4.051935484,2.58,47,7554864.292
"88",2410.982258,4.1788,3.05,54.1333333333333,8568010
"89",2412.062188,5.158148148,3.52,61.2666666666667,32222352.08
"90",2413.780645,5.59862069,3.99,68.4,293422982.9
"91",2413.905,5.581935484,4.47,75.3,2793811288
"92",2414.530313,5.394516129,3.465,77.8,831262254.2
"93",2412.950645,3.818,2.46,65.8,120711340
"94",2411.884688,3.581612903,1.71,54,10334610
"95",2411.255806,3.612,1.14,41.1,7679411.417
"96",2410.787188,4.152631579,0.57,23.4,7188738.875
"97",2410.433438,4.768461538,0,22.8,7151195.583
"98",2410.147,5.4204,0.2,27.6,6428215.75
"99",2409.91125,3.776666667,0.5,39.1,7560162.875
"100",2409.829355,3.991,2.99,44.5,9722483.708
"101",2411.894688,5.656774194,4.18,56.9,61378308.75
"102",2414.92,5.670666667,5.37,69,94044075
"103",2414.514375,5.030967742,3.36,75.4,2165691608
"104",2414.491563,4.775483871,1.27,70.6,2800777921
"105",2414.276774,3.877333333,1.38,63.7,704353579.2
"106",2413.430385,3.659032258,6.2,50.5,75101700.42
"107",2413.89129,3.811333333,0.35,40.7,7686036.167
"108",2413.025938,3.668965517,0.42,22.1,7196686.75
"109",2412.346563,3.73,0.08,28,7156497.208
"110",2411.83069,3.634230769,0.69,33.1,6434840.5
"111",2411.495484,3.524193548,0.01,36.3,7567672.75
"112",2411.232258,3.459,2.24,47.3,28048750.46
"113",2411.902188,3.673870968,2.1,59.5,90339507.5
"114",2413.417742,3.952,4.5,67.2,97948692.92
"115",2413.409063,4.063548387,2.47,71.1,1794033096
"116",2413.7,4.258709677,3.45,70,694313950
"117",2413.664516,3.483,1.79,61.2,1719246725
"118",2412.579063,3.650322581,4.98,43.1,81963183.33
"119",2413.550968,3.987333333,0.13,42.8,7693101.958
"120",2412.852813,3.802580645,0.63,19.7,7203311.5
"121",2412.190625,3.705,0.19,25.1,7164889.167
"122",2411.75,3.456538462,0.54,24.9,6438371.875
"123",2412.085,4.086129032,1.89,40,7574297.5
"124",2412.463548,3.899666667,2.87,52.3,35842117.92
"125",2412.792188,3.788387097,3.46,57.3,62342882.08
"126",2414.206129,5.153333333,7.71,70.5,127500826.7
"127",2414.575,4.368387097,2.31,74.7,485411370.8
"128",2414.24375,4.127419355,2.52,74.7,3064518708
"129",2412.195161,3.286333333,0.7,65.2,366319170.8
"130",2411.197813,3.002258065,0.6,54.8,15625135.96
"131",2410.555806,3.056333333,0.44,37.5,7698841.583
"132",2410.215313,3.140689655,0.15,27,7210377.292
"133",2409.903548,3.154166667,0.64,21.5,7418393.833
"134",2409.722759,3.144615385,0.28,25.9,6696296.083
"135",2409.602903,3.121935484,0.58,37.1,7864460.333
"136",2409.549032,3.18,3.41,48.4,30587790.83
"137",2409.733226,3.41483871,3.84,57.5,39384138.75
"138",2412.18625,3.972,3.64,69.8,50718210
"139",2413.122727,4.257,3.91,77,813094987.5
"140",2413.056897,4.189032258,5.28,74,1729015950
"141",2412.285926,3.583,0.84,60.6,586203383.3
"142",2411.36625,3.386774194,3.83,53.5,15210426
"143",2411.29,3.216,2.21,39,8074244.083
"144",2410.847857,3.312903226,0.59,28.6,7496126.667
"145",2410.405714,3.232333333,0.02,31.8,7425903.708
"146",2410.251724,3.178965517,0.75,30.1,6700712.583
"147",2410.073548,3.154193548,0.49,51.5,25205850.63
"148",2409.875161,3.21,3.34,54.3,50786647.5
"149",2410.622903,3.287096774,1.88,63.3,79245697.5
"150",2410.852667,3.296333333,1.36,73.1,636354991.7
"151",2410.2575,3.0225,0.36,78.7,6151971583
"152",2408.614516,3.047096774,1.52,72.3,4176223542
"153",2407.460667,2.89,0.3,64.4,98217667.5
"154",2406.915484,2.8496,0.24,48.5,10858406.29
"155",2406.604,2.8092,0.535,40.4,8080868.833
"156",2406.437097,2.7688,0.83,27.8,7504515.583
"157",2406.315,2.7284,0.06,26.5,NA
"158",2406.251429,2.688,1.31,29.8,NA
"159",2406.225161,2.61516129,0.52,35.4,NA
"160",2406.327097,2.763666667,3.45,43.6,NA
"161",2406.602121,2.792580645,1.99,59.4,NA
"162",2407.566333,2.839,3.19,66.15,NA
"163",2406.439375,3.233,0.63,72.9,NA
"164",2407.583871,3.586129032,1.97,74.1,NA
"165",2406.864667,3.281111111,2.47,68.6,NA
"166",2406.915938,3.128666667,2.26,50.6,NA
"167",2407.044333,2.9969333336,0.7,36.1,NA
"168",2407.046452,2.8652000002,0.03,24.8,NA
"169",2406.968438,2.7334666668,0.26,26.4,NA
"170",2406.873214,2.6017333334,0.45,22,NA
"171",2406.787742,2.47,0.38,33.6,NA
"172",2406.755161,2.518421053,1.76,47.4,NA
"173",2406.807097,2.714814815,1.44,58,NA
"174",2408.587,3.428,9.45,68.3,NA
"175",2408.800625,3.769677419,0.6,71.4,NA
"176",2409.491935,4.684193548,5.84,71.9,NA
"177",2409.931,3.630666667,1.98,61.7,NA
"178",2409.29,2.629354839,0.77,52.9,NA
"179",2408.803667,2.664,0.04,32.8,NA
"180",2408.560645,2.934347826,1.25,26.9,NA
"181",2408.38129,3.749354839,0.01,26.9,NA
"182",2408.282759,3.241428571,0.36,25.6,NA
"183",2408.157742,2.820645161,0.03,42.2,NA
"184",2408.010968,2.847666667,2.92,49.7,NA
"185",2408.596452,3.417419355,3.37,56.1,NA
"186",2410.398387,4.207,4.19,70,NA
"187",2408.873438,4.021724138,2.91,74.1,NA
"188",2409.417742,4.575483871,3.22,70.5,NA
"189",2409.300645,3.796521739,2.41,69.5,NA
"190",2408.8075,3.042580645,0.72,55.1,NA
"191",2408.504667,3.023333333,3.14,40.2,NA
"192",2408.82871,3.158064516,0.55,30,NA
"193",2408.762903,3.666774194,0.73,27.7,NA
"194",2408.797333,3.504827586,0.75,34.7,NA
"195",2409.135806,3.259032258,0.16,43.2,NA
"196",2409.165667,3.948571429,6.24,51.1,NA
"197",2410.990645,4.814193548,5.26,58.9,NA
"198",2412.917813,5.022666667,4.28,74.1,NA
"199",2413.502581,4.895483871,2.53,74.9,NA
"200",2413.400968,4.7,2.11,72.5,NA
"201",2412.809032,3.901666667,3.12,65.6,NA
"202",2411.654063,3.146785714,0.08,55.4,NA
"203",2410.816,3.256666667,1.12,45.3,NA
"204",2411.065806,3.880645161,0.62,25.5,NA
"205",2410.44871,4.978709677,0.75,24.5,NA
"206",2410.05931,3.49962963,0.26,36.2,NA
"207",2409.778065,3.168709677,0.95,42.4,NA
"208",2409.615667,3.195333333,0.97,49.8,NA
"209",2410.581935,4.046774194,0.99,61.8,NA
"210",2411.770968,4.158666667,1.01,73.8,NA
"211",2411.287419,4.422258065,1.715,77.2,NA
"212",2411.442903,4.432258065,2.42,70.2,NA
"213",2410.413,3.318,2.81,67.1,NA
"214",2410.477188,3.311333333,1.555,53.2,NA
"215",2410.307667,3.200333333,0.3,41.1,NA
"216",2410.389677,3.516451613,0.32,27.8,NA
"217",2410.101875,4.586774194,0.38,22.5,NA
"218",2409.775,5.477857143,0.715,22.9,NA
"219",2409.689355,3.540967742,1.05,40.6,NA
"220",2409.529,3.389310345,2.985,42.2,NA
"221",2409.642903,4.313448276,4.92,65.5,NA
"222",2410.874839,4.719,3.41,74.9,NA
"223",2410.86,5.253548387,3.015,74.3,NA
"224",2409.781613,5.021290323,2.62,71.2,NA
"225",2411.113,4.112333333,2.615,67.2,NA
"226",2410.873438,3.649354839,2.61,48.3,NA
"227",2410.479333,3.599666667,0.54,34.7,NA
"228",2410.235333,3.69483871,2.29,28.3,NA
