"","F9.W63","F9.G42","F9.KY_P","F9.KY_T","F9.Pumping"
"1",-0.00842301501998289,0.0369542605092058,0.0226466569241489,-0.00182203028813257,-0.0126779817206962
"2",-0.00174195802371417,0.0274458444633848,0.0154310345522877,3.95578272278159e-05,-0.00444349827364921
"3",0.0107532050804342,-0.0183336098565137,-0.0129158165119817,0.00270843088030693,0.0383468656806062
"4",0.0127018920114306,-0.0536347343264598,-0.0336426219129571,0.00261297461308715,0.0491710972444833
"5",0.00979431111445285,-0.0865104947406079,-0.0517594652650388,0.00150730106955258,0.0655495452168677
"6",-0.000462170353262434,-0.103508182368068,-0.0562268215174908,-0.00176690185252049,0.0530751907089346
"7",-0.0111041033633003,-0.114730065422086,-0.0565100009127704,-0.00514673806051272,0.0596255916443147
"8",-0.0219845408774167,-0.117135281470982,-0.0515747914693607,-0.00839237011346743,0.0544710409504091
"9",-0.0339743416955151,-0.100594750243436,-0.0376311266592611,-0.0113158272556361,0.0137555656080577
"10",-0.0434198954721796,-0.07064898634686,-0.0187842201794638,-0.0131741160023478,-0.0254578375149231
"11",-0.0466917612189094,-0.0408185581447816,-0.00227963260381576,-0.0133038472762751,-0.0315925325836379
"12",-0.0450516295727546,-0.0132853048757602,0.0102356733042116,-0.0122986062468319,-0.0386622835079429
"13",-0.0386909579625048,0.006456417150819,0.0155597677721564,-0.00989526373481509,-0.0292973006239428
"14",-0.0306781107923328,0.0183708472391703,0.0161327950395826,-0.00724426374767259,-0.0270832513609527
"15",-0.0217689696211821,0.0199404286446287,0.0129299332084134,-0.00479160105150376,-0.0052420868379871
"16",-0.0143029895182238,0.0170569287540139,0.00988766097707957,-0.00310775235796647,-0.00195825490569036
"17",-0.00828835693409406,0.013388723529023,0.00880776338269195,-0.00203227131467329,-0.00165185296325526
"18",-0.00423373645754657,0.0141917748353701,0.0110073941324126,-0.0013853031107246,-0.0231403621346356
"19",-0.000935391642304643,0.0194781398855484,0.0165047175783619,-0.00102532252410394,-0.0391799281421323
"20",0.00362923947737599,0.0236904560747037,0.0198140823111395,-0.000442817983799587,-0.0211909989015077
"21",0.00844346374272229,0.02829475234428,0.0215170914473655,3.35774042379824e-05,-0.0179437367149505
"22",0.0135442569023991,0.0285791084248083,0.0176729173982329,0.000674287864911499,0.00380045455869159
"23",0.0170451416607538,0.0252179640378624,0.0128919574519537,0.000828198318171791,0.0102308187005503
"24",0.019172254862648,0.016103274795486,0.00450785094576974,0.000631699944996575,0.0378859534904614
"25",0.0188809274343566,0.00500179355900156,-0.00344466412188124,8.36809321938787e-05,0.0454629209424768
"26",0.016510299416891,-0.00658069747230275,-0.0111190630782321,-0.000372157037315823,0.0538342004495912
"27",0.0123474965204936,-0.0155128490951549,-0.0141304558804075,-0.000969581346648012,0.0488268910374396
"28",0.00828444228804975,-0.0230306750957372,-0.0155707914170314,-0.00117905489384318,0.0655210794367468
"29",0.00400689962891591,-0.0254134990564723,-0.0141789015669045,-0.00149923060300395,0.047516252306368
"30",0.000410684644201329,-0.0237026186039148,-0.012855863739037,-0.00136243394853992,0.0300520922594176
"31",-0.00234054931975649,-0.0202544763742926,-0.0112106463009317,-0.00130108816448955,0.0141661259780347
"32",-0.0040266424647916,-0.0167025265699508,-0.00978396713384446,-0.00134259728297903,0.00424417388343251
"33",-0.00426470018467744,-0.0163002587305626,-0.0115412452724515,-0.00132085927402938,0.0238613716288156
"34",-0.00442634409754297,-0.0193718010201954,-0.0158405984891995,-0.0012385703604969,0.0375923641242872
"35",-0.00574172072498396,-0.0239142061569783,-0.0196218104597465,-0.00121788352714188,0.0380718107671907
"36",-0.00806921828079132,-0.0292404834113131,-0.0213729465925186,-0.00128038580303079,0.0467476090117378
"37",-0.0109947420253821,-0.0336971211947342,-0.0210920509911022,-0.00137975863965347,0.0579945321786519
"38",-0.0140505428321623,-0.0369628234348464,-0.0196243742613489,-0.00143850921561165,0.0768762014820842
"39",-0.0171447664825129,-0.039723743160329,-0.0185199024880722,-0.00164586669693133,0.0974335066349883
"40",-0.0207095973300886,-0.0402228881928849,-0.0149474455996283,-0.00243836301244699,0.0907158984992459
"41",-0.0236722574204736,-0.0413253172442715,-0.0140900480151618,-0.0036460301046471,0.11581832015104
"42",-0.0268214922773461,-0.0427539945664331,-0.0144766744590393,-0.0052980906377356,0.122143403719183
"43",-0.0301607333303409,-0.0453327936574313,-0.0170285363406064,-0.00709876618739187,0.137262554716265
"44",-0.0338706322826095,-0.0480854118271402,-0.0182513291447697,-0.00904653805264685,0.143019644680559
"45",-0.0377080910040777,-0.0491577909051812,-0.0177104217203553,-0.0107481914102945,0.13110592738562
"46",-0.0411632010813589,-0.0476731700697998,-0.0150993680911451,-0.0120320640157663,0.112396628858479
"47",-0.043904289322401,-0.0419225524650489,-0.0095481786100285,-0.012642664354435,0.0739207701160084
"48",-0.044940881197569,-0.0323938475281106,-0.00151112310247707,-0.0125964829753891,0.0399741285243015
"49",-0.043700295838557,-0.0191938335441719,0.00772440485166632,-0.0119937094197824,-0.00223357727737131
"50",-0.0396651508650104,-0.00620893298806543,0.0140679543891466,-0.0108566572609753,-0.0130511553747853
"51",-0.0336694568989051,0.00443815452337839,0.0171010710903894,-0.00953480113992921,-0.0213692057128222
"52",-0.0266371726808167,0.0121804047976883,0.0173183880922368,-0.00830168096040337,-0.0299235474718823
"53",-0.01940883589807,0.0175128059404779,0.0167391631635847,-0.00725620592108686,-0.0486549906960937
"54",-0.0125145565907017,0.0208041771684945,0.0147660135893427,-0.00632593705809542,-0.0626088157534703
"55",-0.00659280026225976,0.0242327244942527,0.0145857962198372,-0.00549043616460263,-0.0884917459275186
