"","W118","G65","DC_P","DC_T","Pumping"
"120",1505,4.257741935,0.72,17.1,7203311.5
"121",1505,4.147096774,0.31,14.8,7164889.167
"122",1505,4.12,0.44,19.1,6438371.875
"123",1506.21875,4.924516129,0.77,38,7574297.5
"124",1505.774194,4.463666667,0.5,54.5,35842117.92
"125",1505,4.411290323,0.49,58.7,62342882.08
"126",1507.774194,6.090357143,2.68,71.5,127500826.7
"127",1509.75,5.080645161,1.68,75.4,485411370.8
"128",1509.90625,4.191290323,3.69,76,3064518708
"129",1509,4.04,1.03,64.8,366319170.8
"130",1508.0625,4.157096774,0.49,55.4,15625135.96
"131",1508,4.237,0.43,37.6,7698841.583
"132",1507.1875,4.174193548,0.14,22.9,7210377.292
"133",1507,4.096774194,0.7,15.1,7418393.833
"134",1507.206897,4.216428571,0.19,23.1,6696296.083
"135",1506.935484,4.262903226,0.4,35.9,7864460.333
"136",1506.096774,4.583333333,1.36,48.4,30587790.83
"137",1506.875,5.535806452,3,59.5,39384138.75
"138",1508.466667,4.942692308,1.23,69.8,50718210
"139",1509.181818,4.508064516,0.55,78.9,813094987.5
"140",1509.6,4.330967742,2.97,73.5,1729015950
"141",1509,4.063928571,0.2,61.1,586203383.3
"142",1508.21875,4.133548387,0.52,54.3,15210426
"143",1508,4.245,0.37,38,8074244.083
"144",1507,4.161935484,0.6,26.8,7496126.667
"145",1507,4.121612903,0.13,28.7,7425903.708
"146",1506.758621,4.242222222,0.62,26.8,6700712.583
"147",1506,4.276923077,0.18,52.2,25205850.63
"148",1506,4.293333333,1.25,55,50786647.5
"149",1506,4.421612903,1.92,65.5,79245697.5
"150",1506,4.131333333,2.17,72.1,636354991.7
"151",1506.741935,3.816774194,0.07,81.3,6151971583
"152",1507.611111,3.715483871,0.61,73.2,4176223542
"153",1506.3055555,3.742666667,0.19,65.6,98217667.5
"154",1505,3.860967742,0.67,48.4,10858406.29
"155",1504.733333,4.018666667,0.97,39.8,8080868.833
"156",1504,4.062258065,0.85,26.4,7504515.583
"157",1504,3.879677419,0.12,22,NA
"158",1503.964286,3.882142857,0.39,26.2,NA
"159",1503,3.88483871,1.2,31.3,NA
"160",1503,3.996666667,0.89,43.4,NA
"161",1503.258065,4.258064516,2.04,59.2,NA
"162",1504.419355,4.456333333,1.2,69.7,NA
"163",1505.451613,4.071290323,0.36,73.8,NA
"164",1507,3.954193548,0.95,74,NA
"165",1505.481481,3.959666667,0.81,69,NA
"166",1505.0625,4.087419355,2.2,50.8,NA
"167",1504.133333,4.188,1.43,35.3,NA
"168",1504,4.053333333,0.06,20.4,NA
"169",1503.6875,4.003913043,0.08,19.8,NA
"170",1503,4.084285714,0.23,19,NA
"171",1503,4.104193548,0.22,33.3,NA
"172",1503,4.134,1.5,49.5,NA
"173",1503,4.19,2.34,60.5,NA
"174",1504.8,5.082333333,2.45,70.8,NA
"175",1506.1875,4.321612903,0.39,70.1,NA
"176",1507.290323,4.091935484,1.76,72.3,NA
"177",1508.7,4.550666667,1.7,63.5,NA
"178",1507.1875,4.315806452,1.09,53.8,NA
"179",1506.633333,4.304333333,0.28,30.3,NA
"180",1506,4.33,0.34,27.5,NA
"181",1506,4.291290323,0.1,24.1,NA
"182",1505.068966,4.372142857,0.69,19.3,NA
"183",1505,4.307741935,0.43,40.6,NA
"184",1505,4.475666667,1.34,51.3,NA
"185",1505,4.632903226,1.21,58.3,NA
"186",1505.645161,5.2604,1.04,69.7,NA
"187",1506.612903,4.477333333,1.49,73.9,NA
"188",1508.709677,4.887741935,2.38,70.7,NA
"189",1508.166667,4.471333333,2.64,69,NA
"190",1507.5,4.329677419,0.46,55,NA
"191",1507,4.400333333,0.6,42,NA
"192",1507.354839,4.827741935,1.4,29.9,NA
"193",1507,4.634193548,0.32,20.9,NA
"194",1507,4.851034483,0.49,31,NA
"195",1507,4.619032258,0.39,44.3,NA
"196",1507.033333,4.814827586,1.16,51.2,NA
