"","F2.W73","F2.G40","F2.CDY_P","F2.CDY_T","F2.Pumping"
"1",0.741212420826335,0.469904797380997,0.0633439398595477,-0.0650046668982228,-0.0279383385196794
"2",0.731116879396011,0.431744426892684,0.0486337995584942,-0.0624507182063816,-0.0227501068353806
"3",0.717348034772925,0.390655881553498,0.0353747223245249,-0.0603838594561734,-0.0167585220702046
"4",0.700736339912244,0.350553159974077,0.024246029758007,-0.0570127483324006,-0.010188557302547
"5",0.683311857999927,0.310871076478064,0.0154895830816513,-0.0528742236616215,-0.00370193402085639
"6",0.665703318525583,0.270133390930473,0.00812838952293798,-0.0499806565100816,0.00239226761315764
"7",0.647857593002845,0.230485984540745,0.00508724801371828,-0.0478820262852214,0.00682123913543025
"8",0.62953249126188,0.188839949096733,-0.00331492915849779,-0.0468620436631483,0.00827256935403262
"9",0.609068953481794,0.146300166515396,-0.0116742612914762,-0.0468337389636065,0.0086752257754878
"10",0.584831381626515,0.102963946290961,-0.0218708321578654,-0.0472235984046694,0.00884095526410145
"11",0.557951844649929,0.0590988163986569,-0.0335550666192155,-0.0475712635253564,0.00936177928342896
"12",0.528307490618395,0.0146786498986529,-0.0457009322636743,-0.0469608197310375,0.0104746537853973
"13",0.495961543344071,-0.0303226914057289,-0.0574200341308721,-0.0452411013999542,0.0120641539813332
"14",0.460695529248315,-0.0761600125145843,-0.0687944753318983,-0.0429068242747823,0.0142484876296974
"15",0.422986069416824,-0.122229902656405,-0.0796756734675519,-0.0395714991135365,0.016960033308174
"16",0.382976113732998,-0.168152969032311,-0.0900333031752221,-0.0355175676407198,0.0202060483003732
"17",0.340374848283655,-0.213853485090192,-0.0998778941581743,-0.0312504385295672,0.0238481762488321
"18",0.295722750093867,-0.258552299377794,-0.109888250151339,-0.0271463419541614,0.0276388748515553
"19",0.249919089331588,-0.301787243106862,-0.118614504604381,-0.0233517951030007,0.0310503224228797
"20",0.204585357282239,-0.343195168597548,-0.127158405798052,-0.0201226619760184,0.0331815638036521
"21",0.158127031968851,-0.383517399966634,-0.135138348595451,-0.0173813346293669,0.0345836300398549
"22",0.109982845854226,-0.423282816651442,-0.143687631087222,-0.0150528212125293,0.0358326886483973
"23",0.0604430856266336,-0.462419777013171,-0.151557117979716,-0.012726627165261,0.0371325647730422
"24",0.0100001197137154,-0.500830541873387,-0.158808408064046,-0.010339394367846,0.0386587935254242
"25",-0.0412800971442232,-0.538483613413409,-0.165492212542334,-0.00758589826081443,0.0404229666012923
"26",-0.0932331288574855,-0.575369765391679,-0.171776407793827,-0.00422396861428765,0.042417086058053
"27",-0.145728823939193,-0.611224762889431,-0.177363926146493,-0.000303441093352098,0.0446298800627214
"28",-0.198510870746618,-0.645696291133856,-0.182499496297237,0.00454124885552203,0.047050593256404
"29",-0.251306284213617,-0.678389068299622,-0.186626691411582,0.00962884169225902,0.0495945066963283
"30",-0.303255812868657,-0.708839975840542,-0.190343041050239,0.0147620602249708,0.052121709072065
"31",-0.35386293668294,-0.736890434607171,-0.193653929017325,0.0194759447772979,0.0544503351899012
"32",-0.402172110367197,-0.76166484917162,-0.196544889738704,0.023644535364515,0.0570325822186556
"33",-0.449166927849728,-0.78349694732107,-0.199852566710733,0.0272482931280953,0.0599479181043864
"34",-0.495356565600472,-0.802186864233055,-0.202746565120317,0.0304049200711111,0.0624305641784148
"35",-0.540546881055879,-0.817868024226056,-0.205186233288207,0.0333595668742245,0.0647054063973954
"36",-0.584646059143324,-0.830725484794643,-0.207068080071687,0.0362848042288792,0.0669377288061723
"37",-0.627433715144508,-0.8409577308299,-0.208245765296428,0.0392275587810789,0.0691723147398548
"38",-0.668763330948999,-0.848745777102126,-0.208833687290041,0.0423919239474503,0.071019632498285
"39",-0.708573302027684,-0.854429327796585,-0.20865222486704,0.0458583355013844,0.0727456818348317
"40",-0.746797425440998,-0.85802345569325,-0.208128653297532,0.0493989233364526,0.0743371319629915
"41",-0.783248839715051,-0.859419235162882,-0.207282788997579,0.0527637333690492,0.075774703381597
"42",-0.817980260918021,-0.858838713708707,-0.206142766492052,0.0559361011882719,0.0770144348790783
"43",-0.851133832806109,-0.85662649152284,-0.20518323949338,0.0587111176707398,0.0780191191754826
"44",-0.882434268862395,-0.852453594699478,-0.20392210142303,0.0609566570159639,0.0787296479867979
"45",-0.911732287703064,-0.846225303537564,-0.202231318187008,0.0627141268482922,0.0791330211470292
