"","W67","G45","KY_P","KY_T","Pumping"
"113",2044.744063,2.240967742,2.66,60.2,90339507.5
"114",2044.925161,2.844333333,4.96,68.2,97948692.92
"115",2043.677188,2.471935484,1.04,71.3,1794033096
"116",2041.67129,2.133548387,2.79,70.9,694313950
"117",2041.164516,2.464333333,2.07,62.3,1719246725
"118",2041.42375,3.139677419,4.53,43.4,81963183.33
"119",2041.623871,3.853666667,0.13,42.6,7693101.958
"120",2041.795938,4.185806452,0.08,19.1,7203311.5
"121",2041.909063,4.348709677,0.03,21.7,7164889.167
"122",2042.064483,3.486785714,0.67,24.3,6438371.875
"123",2042.305313,3.818387097,1.84,40.1,7574297.5
"124",2042.589677,3.366333333,3.22,53.2,35842117.92
"125",2042.83875,3.85483871,3.36,57.4,62342882.08
"126",2043.523871,5.193333333,5.28,70.8,127500826.7
"127",2044.15,3.891612903,4.61,75.2,485411370.8
"128",2042.775938,3.336129032,3.47,75.6,3064518708
"129",2042.473871,3.614333333,1.02,64.8,366319170.8
"130",2042.756875,3.558387097,0.34,54.9,15625135.96
"131",2042.926774,3.811666667,0.93,37.4,7698841.583
"132",2043.045625,3.956774194,0.14,25,7210377.292
"133",2043.154688,5.248148148,0.86,19.1,7418393.833
"134",2043.306897,4.535714286,0.12,25.9,6696296.083
"135",2043.444839,4.571935484,0.9,37,7864460.333
"136",2043.594839,4.686666667,3.45,49,30587790.83
"137",2043.8325,4.84516129,7.53,58.2,39384138.75
"138",2045.380968,5.908888889,4.51,70.3,50718210
"139",2046.11,5.221935484,4.07,78.6,813094987.5
"140",2043.909565,4.46516129,3.72,74,1729015950
"141",2042.75,4.586333333,0.65,60.4,586203383.3
"142",2042.992188,4.328387097,4.92,53.3,15210426
"143",2043.105667,3.867666667,0.33,38.1,8074244.083
"144",2043.210645,3.851034483,0.39,28.2,7496126.667
"145",2043.335938,3.868064516,0.03,30.9,7425903.708
"146",2043.462759,3.952413793,1.04,29,6700712.583
"147",2043.702581,3.538387097,1.02,51,25205850.63
"148",2043.831613,3.375333333,4.35,54.3,50786647.5
"149",2043.959355,2.513076923,2,64.5,79245697.5
"150",2043.713333,1.650333333,1.62,73.3,636354991.7
"151",2041.289688,1.174444444,0.58,80,6151971583
"152",2039.549032,1.73483871,1.45,72.6,4176223542
"153",2038.798333,2.214666667,0.54,64.4,98217667.5
"154",2038.87,1.601290323,0.58,48.3,10858406.29
"155",2038.899333,2.250666667,0.595,39.8,8080868.833
"156",2038.920323,3.078076923,0.61,27.1,7504515.583
"157",2038.918125,3.50375,0.14,24.5,NA
"158",2038.936429,3.273157895,0.74,29.1,NA
"159",2038.978387,2.778518519,0.62,34.5,NA
"160",2039.039355,3.468,4.37,44.2,NA
"161",2039.105161,2.253571429,6.54,59.7,NA
"162",2039.512667,1.808275862,1.44,70.6,NA
"163",2038.594688,1.2,1.98,73.8,NA
"164",2037.676129,1.596129032,2.19,74.6,NA
"165",2036.981667,2.321,3.77,69.4,NA
"166",2037.0725,4.104193548,3.73,51.3,NA
"167",2037.309667,2.886521739,0.72,36.4,NA
"168",2037.49871,3.479354839,0.1,24,NA
"169",2037.630625,3.478064516,0.28,25.1,NA
"170",2037.747857,3.625357143,0.36,21.6,NA
"171",2037.849063,3.290645161,0.11,34.4,NA
"172",2037.960968,3.451,3.35,48.8,NA
"173",2038.046563,2.504516129,0.71,59.8,NA
"174",2038.126333,4.423333333,8.53,70.9,NA
"175",2038.548438,2.311290323,0.17,71.8,NA
"176",2038.998065,2.322258065,7.6,73.2,NA
"177",2039.461,2.509,2.4,62.8,NA
"178",2039.79375,2.908387097,0.99,53.4,NA
"179",2040.051333,2.797857143,0.06,33.4,NA
"180",2040.284839,3.689642857,0.69,28,NA
"181",2040.467419,4.355238095,0.05,27.6,NA
"182",2040.620345,3.927083333,0.49,25.1,NA
"183",2040.763871,3.646451613,0.07,41.8,NA
"184",2040.880333,3.793666667,3.14,50.8,NA
"185",2040.981935,5.394642857,2.85,58.1,NA
"186",2041.159032,6.56,7.08,69.9,NA
"187",2040.224516,3.198928571,2.36,74.5,NA
"188",2039.076129,2.721333333,2.47,71.2,NA
"189",2038.779667,2.934333333,2.27,70.5,NA
"190",2038.850625,3.151612903,0.97,55,NA
"191",2038.934,3.507,3.25,41.9,NA
"192",2039.028065,3.521612903,1.05,32,NA
"193",2039.126129,3.658064516,0.4,27.5,NA
"194",2039.209667,3.752857143,0.98,34.9,NA
"195",2039.346129,3.021290323,0.56,43.4,NA
"196",2039.541667,3.188333333,8.39,51.4,NA
"197",2040.305484,4.343225806,2.3,58.1,NA
"198",2040.768387,4.129666667,0.61,74.6,NA
"199",2039.698065,2.107857143,3.38,74.9,NA
"200",2038.644516,1.929677419,1.47,73,NA
"201",2038.131333,2.649333333,1.2,66.2,NA
"202",2038.199375,2.446071429,0.12,55.8,NA
"203",2038.298667,2.885333333,1.56,46,NA
"204",2038.341935,3.486428571,0.9,26.3,NA
"205",2038.426774,4.077586207,0.9,28.2,NA
"206",2038.504828,3.148571429,0.3,37.1,NA
"207",2038.532258,3.361935484,1.63,41.6,NA
"208",2038.593667,2.920333333,1.87,50.7,NA
"209",2038.671613,3.180967742,6.03,58,NA
"210",2038.740645,2.920333333,1.93,73.1,NA
"211",2037.731613,2.121290323,3.66,76.5,NA
"212",2037.062903,2.463870968,3.65,69.1,NA
"213",2036.849677,2.235,2.19,66.6,NA
"214",2036.983125,2.370967742,2.83,53,NA
"215",2037.141667,2.564666667,0.34,39.6,NA
"216",2037.257097,3.131290323,0.21,27.1,NA
