"","W60","W63","W67","W70","W73","W74","W78","W80","W81","W115","W116","W118"
"162",-0.0354949353713818,0.110943335837811,0.155866766950823,0.344640977736109,0.314187141702288,0.220235049429171,0.123272291556383,0.214930113310295,0.144470620107759,0.249333366727268,0.410188341996917,0.101565303831614
"163",-0.254808823220543,-0.0286254412735238,0.0765210995987391,0.299470396630444,0.499515816344909,0.00401188912995012,0.0975848227487102,-0.134525329041962,0.00793558449804787,0.228379459181906,0.254954019613889,0.308117753490335
"164",-0.405323948049829,-0.166739421744566,-0.0211949795800182,0.174146263015117,0.55012178684437,-0.214970433976674,0.0478900395274602,-0.446329971255524,-0.129498995088619,0.146622626945722,0.0323079671844434,0.434046661947802
"165",-0.447887143493813,-0.267597200166626,-0.111237844824427,0.00248188928835716,0.452394906402614,-0.379317369758693,-0.0124355743498102,-0.637946276397912,-0.231195337248616,0.0268816698583428,-0.197863316952809,0.445303166157793
"166",-0.372131991008887,-0.305551088380378,-0.169680666003518,-0.169474030426378,0.232710894964356,-0.446036086150208,-0.0672399158355692,-0.658551556865475,-0.270219948496673,-0.0979104274795392,-0.373686683030308,0.338563014629612
"167",-0.198749473525033,-0.271699309071508,-0.180972911649218,-0.296008034673352,-0.0500799762502295,-0.396823770726114,-0.101887474924053,-0.503635424464507,-0.236341319317862,-0.194033014892425,-0.448310672275251,0.141695010834089
"168",0.0272509643047361,-0.176219939629612,-0.142159400769484,-0.343646516535981,-0.320367447599833,-0.242793450269633,-0.107186887128512,-0.214774901825961,-0.138676701192432,-0.235939720237774,-0.402283473302165,-0.0932883392278685
"169",0.246483724599056,-0.0457778615594075,-0.0637815732357393,-0.300082030510521,-0.505599114856457,-0.0231485581449809,-0.0819123799723203,0.131131737840096,-0.00345158834999371,-0.213041079992902,-0.248460803633517,-0.30375943915999
"170",0.401355475788088,0.0837229040436818,0.0330096170049861,-0.177378267990517,-0.556028754374815,0.205162780326076,-0.033114236040333,0.442072089410073,0.133128687096982,-0.132387814108851,-0.0285776588180114,-0.433357363935334
"171",0.451179597957098,0.176815616945889,0.122153747062516,-0.00861942964030169,-0.457909912390293,0.382207976457558,0.0258484724962742,0.635296493345367,0.234607364713327,-0.0165856293582524,0.198178803052955,-0.446907294471197
